depth,2014-02-18,2014-03-26,2014-04-22,2014-10-07,2014-11-11,2018-01-11,2018-02-07,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-09-24,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-02-11,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-11-14,2023-12-05
32.0,N/A,N/A,N/A,N/A,N/A,1.16536312637505,0.734552656683399,0.611647934971796,0.898425738941409,0.727284446289122,0.531279073696529,0.63491501,0.378776085375365,0.371554208564779,0.29721255037687,0.658156857157256,0.860904950074347,0.6392870976087,1.13763702367006,0.724452626998639,0.616700614610475,0.384249396978254,0.372426014193637,0.388429163778765,0.438819477970581,0.755830572898383,0.465042120653975,0.164174662698749,0.40349727959076,0.427259509123072,0.415990961054316,0.457695924440664,0.416366410894431,0.758642422440665,0.72564516344696,0.725291403198827,0.640047109919299,0.742001061819817,0.380642655818588,0.460472611227743,0.442187488810237,0.405773297037626,0.386365756473082,0.477891896670773,0.819835206677771,0.937898052471492,0.449999850197947,0.741048482214878,0.446404861660137,N/A,0.516602884933948,0.379519490632153,0.308588880469434,0.373631876479896,0.505652609764682,0.456218221861349,0.619777219668332,0.759271845258443,0.699077834781308,0.387199296905725,0.485611715468248,0.414089125191316,0.301425069215153,0.368823499604448,0.418695126682792,0.402085305364522,0.644233088725794,0.891459254976338
33.0,N/A,N/A,N/A,N/A,N/A,1.0218988964639,0.734364790088225,0.602516832939037,0.922534762501655,1.07388115254705,0.589871079121567,0.55002424,0.305554440245666,0.314773028792609,0.240082160446609,0.592053325133605,0.81022911916319,0.631062214148782,1.09764357192206,0.759804228930507,0.637230835091729,0.382241010921313,0.375067567515521,0.393856034903936,0.395584144384734,0.843505194326884,0.487192040273531,0.122294656024719,0.376185049915826,0.470038139074325,0.357533490218861,0.334378406484204,0.401903982390489,0.766444505203443,0.752243800088629,0.768401582102038,0.596713501167866,0.770061410525993,0.39757052566783,0.419832126271581,0.492252816184335,0.588481151287441,0.910024866123331,0.481953471284804,0.72042331469874,1.05440177676194,0.446719893145004,0.70957126217363,0.308681620001476,N/A,0.437004520155543,0.416252893812693,0.312670969962627,0.307493375373163,0.413855467450824,0.391435589276691,0.580229438567548,0.781211125304853,0.691648925488033,0.36189960970686,0.47937449610402,0.308998680216019,0.31272998738019,0.423742711334221,0.349396687282888,0.392425626589084,0.590041224362555,0.926492763022511
34.0,N/A,N/A,N/A,N/A,N/A,1.0317945148116,0.831246552921057,0.606556642043131,0.878945835044271,1.0450754801136,0.682886734355732,0.49865519,0.346008834788819,0.346442219458594,0.287877871777555,0.644072591735675,1.00010689504518,0.728659243362538,1.19781797611598,0.711752413840071,0.730230418786397,0.447191105509068,0.297342333891043,0.360758433388341,0.439299605487483,0.753305824185179,0.478466496126734,0.096227446792588,0.353173961117134,0.493388312763085,0.376339313092345,0.366575026515209,0.382727517347824,0.831053966873029,0.884120872758157,0.77694993156345,0.622727045416485,0.745347626371058,0.36789110026769,0.419885791560928,0.535778817671253,0.561447667226521,0.416553835286152,0.421723999142584,0.548570184260061,1.11237493956422,0.502355077391413,0.709610257459448,0.32301862413469,N/A,0.390389972979172,0.443488948121275,0.358131127520355,0.315330810708909,0.398065420171984,0.364272497246123,0.679157809916354,0.80003833798414,0.717203657083567,0.447487447490499,0.475268251628432,0.28083284277788,0.27328117126504,0.403837734837499,0.436042548393689,0.381662278638365,0.509877679288042,0.849469453523921
35.0,N/A,N/A,N/A,N/A,N/A,1.17472945691968,1.16960800682445,0.645151646006633,0.863455925489577,1.56199795571311,0.749553915052814,0.46776,0.365747914615848,0.353436272360276,0.299514300422318,0.580488112748473,1.50634027754707,1.00451855030146,1.57140724817409,0.891635031125155,0.880102897467601,0.495637569598402,0.408500468312427,0.327684436937314,0.417599273436209,0.755814925628236,0.538286877991902,0.0754003863047598,0.403541229844713,0.492650559142954,0.347702971690113,0.337988797996138,0.442947411536718,0.82961239950762,0.878017599404032,0.737613530417866,0.643143811957397,0.7570161149896,0.422572116231316,0.494030175465638,0.52202522876179,0.590420767155213,0.424197800807805,0.370525750834618,0.574983421358552,1.15144895030469,0.52474725593358,0.771229810812186,0.558453989227529,N/A,0.526250149818419,0.50020748799409,0.571235682927059,0.329170674543977,0.346632688530098,0.348000514244531,0.826251911469204,0.817499727781604,0.77939667266018,0.503904265187883,0.456557552069295,0.317605428159717,0.296246568883549,0.357459557567292,0.571144917371488,0.37176523457722,0.582991891675843,0.872798006483127
36.0,N/A,N/A,N/A,N/A,N/A,1.2341992193402,1.29312960512492,0.699819214539874,0.851950679163806,1.60552462758316,0.741282905482576,0.46792873,0.391425615846068,0.328312457539213,0.237571329860266,0.491099271799504,1.39338149378791,0.967474299222098,1.16857823916041,1.19906580625149,0.918474589775377,0.503146780737675,0.46597196822784,0.324764565907237,0.435548628819501,0.808963930211894,0.540310821953235,0.0666301087621542,0.394638499416482,0.490767628856596,0.307321612505668,0.331201633833196,0.425896236732544,0.821465638047239,0.808015629935158,0.68237604603405,0.682373567653816,0.777538213790299,0.452999454914992,0.658262776373455,0.537784387399026,0.596769819463178,0.430624623897993,0.389428684298101,0.437202206977982,1.11506956426011,0.476103067926747,0.875308005964418,0.389818883494218,N/A,0.433733756958804,0.38701626601079,0.500219637553316,0.337434351618155,0.286259492717771,0.338642279700722,0.841221059281506,0.834860895558212,0.707958646096696,0.437956779853729,0.438336714232117,0.312273766670403,0.318423951591224,0.358972870656123,0.562107159022692,0.363291215792159,0.75392167275979,0.829023049706354
37.0,N/A,N/A,N/A,N/A,N/A,1.22900544175332,1.33780603717229,0.661519892288776,0.884437748013774,1.72647094890942,0.707257242757309,0.47320913,0.353647748051159,0.307498339591186,0.249637282960102,0.444161304196082,0.875916554682219,1.26967245880031,1.28268378086819,1.23016303369481,1.0493820254905,0.482701038171044,0.534051041436198,0.335609255143778,0.283865142623735,0.957874451224798,0.580350649851801,0.0882923383094383,0.387043936799622,0.458861588290568,0.372298844530602,0.64893153266083,0.437011242047675,0.851412049373908,1.00286649490573,0.715016985637205,0.753450000899056,0.922310544097376,0.468647231215106,0.596114929135495,0.657871678432106,0.629286788924043,0.451962842429476,0.438166255169555,0.435387102943381,1.19826245050599,0.5216516476903,0.93480068000005,0.386602593188167,N/A,0.426849738765416,0.377851112882305,0.450143030145762,0.347735541711632,0.33722488810624,0.343989460597791,0.798505273588186,0.852073454124583,0.761840671907226,0.457083094692718,0.44229091248849,0.328109023759242,0.302536525273635,0.385968936998696,0.402495752065672,0.353930807011547,0.550663858283185,0.770971176071932
38.0,N/A,N/A,N/A,N/A,N/A,1.26537444685948,1.36379006664804,0.652289406206312,1.03240046135065,1.74321297637618,0.775350782281247,0.48593494,0.32107035124048,0.484537608378323,0.256785706946307,0.497149222909295,0.855810942358939,1.13261112018962,1.47754079289692,1.14655905744387,1.20067085229633,0.567978760624611,0.491928386184765,0.351116836269862,0.286299084897221,1.1705219775291,0.662361839805003,0.124481685424131,0.382007697865691,0.484790257068609,0.446977776431006,0.58626770722503,0.395763061147587,0.863480784204834,1.09119444248895,0.876508245826077,0.702010159562888,1.14333635020417,0.583206467961847,0.653227988989509,0.841852146818744,0.623347749260573,0.429173887349657,0.478373209794758,0.407075694331749,1.09562700795943,0.596834033129362,0.889509341926946,0.407717786900435,N/A,0.498192715633531,0.418533164996117,0.485934845322688,0.312633814030817,0.359776297877763,0.486724238310343,0.722568502629947,0.868420012559482,0.78930505864515,0.428425574373896,0.459798966545987,0.3460009830318,0.299425934685819,0.400535430924469,0.471881606976183,0.336433984166077,0.52855286446126,0.893215057244214
39.0,N/A,N/A,N/A,N/A,N/A,1.27607315611286,1.20446156507104,0.627146881827471,1.24512845966133,1.83024375973067,0.906968407331465,0.50301301,0.288185282611999,0.479106140523994,0.231416506951091,0.440146843508739,0.825112049786273,1.07981178222216,1.80259923874832,1.10918661855459,1.24967681234747,0.837991990001169,0.471495210618426,0.331515675548012,0.367114546159952,1.13551056195061,0.662918639570412,0.152079279923751,0.398177390798408,0.558214188785632,0.514192566788007,0.358035580174782,0.375613831170879,0.756301670781701,1.02783601434341,0.856203606145822,0.695400198062955,0.981710837366836,0.642355628707783,0.742744081302608,0.607109081240695,0.653107429099469,0.38812256182791,0.488209798981932,0.385099009003148,1.13286631963028,0.698053493837815,0.931719558694459,0.401263810129917,N/A,0.514684418912135,0.45534304935334,0.427514867790178,0.252048080822309,0.370131683438283,0.55780129897242,0.785352103871043,0.88481178707131,0.839953561713338,0.51266368186806,0.483130168637813,0.338057639409841,0.800185257375193,0.440278211369984,0.633072407054645,0.319043819890337,0.550023793969069,0.888743309376848
40.0,3.0,2.0,2.0,N/A,1.0,1.2835316140927,1.21165808714297,0.646546539739782,1.39079034570636,1.78157707706232,0.875619946539221,0.50703771,0.505310611407631,0.366293595445797,0.301252760941751,0.384912229279464,0.742965395287842,1.03735477318071,1.8257071829942,1.19242398789595,1.46034307215115,1.31781909026184,0.48221301195352,0.332107563075938,0.389341736626543,1.18874202824956,0.570540438418742,0.175037336108385,0.5204183074017,0.563285758748426,0.53645816073629,0.322933128373414,0.374374870652953,0.726687114991522,0.948300140363959,0.927238610160493,0.742088088648656,1.12167456722058,0.668436162230353,0.699968382171191,0.626152128288154,0.654733397455731,0.423795862133038,0.484509937167396,0.363676416845796,1.0442646400312,0.673509010027254,0.923644077438189,0.43084874374772,N/A,0.492147352360094,0.435728399128654,0.476146178292822,0.252848481448104,0.333271908515593,0.393940380128579,0.728745914572268,0.901562424318196,0.826726263019934,0.521317604813629,0.512998725246189,0.348794706006887,0.485415937179819,0.399140699089981,0.668686860760674,0.316280156149516,0.567947706665554,0.821766977548003
41.0,N/A,N/A,N/A,N/A,N/A,1.35326108483536,1.24987774164935,0.699423418980319,1.36137081345085,1.97474668222661,0.782130579898042,0.50188576,0.348487961487064,0.384387942167159,0.462699004778293,0.432237591602629,0.897672464564249,1.77217889352034,1.69862485976266,1.2000970684139,1.49772003655189,1.0642474847326,0.496520355934995,0.34332859801395,0.290715304686337,1.17217208492412,0.560589084478471,0.195936823674932,0.459534242649713,0.554645189070344,0.504724713384085,0.317945522704979,0.432575741986265,0.65786794618789,1.02640054635524,1.0085375727106,0.697522734673521,1.47098435812054,0.737374009904073,0.623664041816309,0.606992665051168,0.614985491445233,0.459221764570921,0.493228863729975,0.351412110982353,1.33285793407653,0.67012498606227,1.0173419830151,0.517610373462829,N/A,0.485260599324784,0.475495339666076,0.499472266941401,0.300769537691802,0.386234631416128,0.413163081557317,0.641456692514582,0.917964573636834,0.923078827792084,0.481899957049473,0.548782308482128,0.3034727004605,0.386494862164797,0.446275931757157,0.650654730671245,0.326512319753116,0.613503966440688,0.644959255138649
42.0,N/A,N/A,N/A,N/A,N/A,1.44705678915945,1.17817394895501,0.684616798140826,1.31311985716917,1.97736011496201,0.771907888864086,0.47768823,0.445771030382616,0.545319266951082,0.421627229635914,0.551486257842224,0.904928132310002,1.30226773367652,1.90281447746964,1.10651930208814,1.44300565477242,1.12802603555577,0.44738179015598,0.335522559742366,0.30436840676413,1.22808972846861,0.600230999982489,0.220110911827513,0.436594588372286,0.556438527857226,0.559468382674328,0.387426807217503,0.398863329489085,0.698304569693953,1.03347230476391,1.12374758755102,0.862726106119618,1.4173653825265,0.866276142432075,0.592694566716803,0.824541761464787,0.666360219905731,0.465594832571573,0.561463336928044,0.343401629790013,1.10404859585508,0.674221540977511,0.99965943118769,0.545032186046366,N/A,0.46051891287193,0.537768508878121,0.485447281662363,0.361426432549206,0.400418011742393,0.355538798436087,0.653146949118874,0.934171924377328,0.921926264260685,0.514994145105771,0.590061452418234,0.268846767226062,0.427429956458536,0.461413033577009,0.752947390694443,0.341990470916739,0.539182498782562,0.671493606517481
43.0,N/A,N/A,N/A,N/A,N/A,1.4762285640003,1.14728635643069,0.612319484255013,1.36592224551831,1.92782553424545,0.736707847610483,0.46508309,0.408695315955717,0.609163232707664,0.41674251580136,0.459239364984193,0.82826730883143,1.21745156385969,2.21412980196375,1.69690153205862,1.5588492090354,1.0578129205385,0.553336011872402,0.300696466200414,0.372360231033833,1.2727703100693,0.646620513383391,0.237876593363762,0.467700482207001,0.552799314715315,0.677586790655047,0.394194737292435,0.385906978482221,0.685787688673574,1.09638058106871,1.26547095952162,0.827664643388208,1.54347911466583,0.828260796134661,0.641033211086795,0.838831628507432,0.75852879485547,0.485191091453665,0.604321733687058,0.376954292976879,1.14834145171698,0.675266567343767,0.829370223470071,0.554061722034938,N/A,0.437682244922082,0.551847393558624,0.517442848615536,0.295391783383323,0.366474941777362,0.326203514967141,0.732503387775856,0.950291541332298,1.01577636286721,0.575895889856243,0.637278799552834,0.466484507253066,0.408289594775788,0.533489147309011,0.658905584136459,0.373642117138154,0.428613892052412,1.26837120576373
44.0,N/A,N/A,N/A,N/A,N/A,1.51320068758242,1.21819927016961,0.310270491652808,1.32025113704449,2.23515387448093,0.696324421807762,0.45903837,0.390763900663383,0.399984130791204,0.425920454127452,0.484201695440586,1.04751360781058,1.32886132021218,2.40743192387357,1.8980197008218,2.03680448211762,0.959244350131576,0.613455066180026,0.270677622480538,0.444182611361125,1.27429905285888,0.625047999255171,0.251701349442892,0.443419374216962,0.552917283375955,0.633638371769692,0.402931213801922,0.32176769505536,0.614544708246282,N/A,1.345052344146,0.838020956787828,1.46193691847318,0.777925808072912,0.619181891025608,0.83662201323563,0.722496003203883,0.489349200645354,0.575883822345544,0.38784832359799,0.916034671255269,0.643962596660351,0.917445998666577,0.513751405762685,N/A,0.468128479344975,0.455614382234384,0.521162589008395,0.280148596494043,0.350066228299771,0.317851272347469,0.733792317405389,0.966187619405372,1.0509571502002,0.592802149505866,0.690090806326963,0.388674838177057,0.411702636333837,0.612300233006228,0.587281241222076,0.424650808879336,0.37355049569368,1.20825414294804
45.0,N/A,N/A,N/A,N/A,N/A,1.48769304856126,1.25562280117609,2.16215040067651,1.02438828071958,1.96470926059131,0.700216159846414,0.47975442,0.426362450991257,0.402053618753133,0.345876200969989,0.545322178825461,0.925626007772357,1.46102455177302,3.00554990970299,2.21179438882703,2.0364006537578,1.00665710456196,0.519027652103558,0.360844967823846,0.381440807088827,1.26775206636217,0.605036805382292,0.288887349188752,0.424726644181444,0.569184049437526,0.49008537778474,0.466115683651883,0.593747649838326,0.505832509134157,N/A,1.31262857153676,0.895797387606046,1.70614217225732,0.816345381230978,0.776013885267139,0.887636764523114,0.70144738228642,0.66802011444802,0.55751893711117,0.367035594943333,0.964922303329534,0.832316757025944,1.02055727252328,0.585104270989362,N/A,0.483267777043384,0.452235317000558,0.713600904053161,0.336264809460632,0.482563278715955,0.390915820543673,0.824124171884643,0.981880561083636,0.984024930813817,0.67026463085289,0.748372961933319,0.320586642072015,0.317837965350928,0.648202430844275,0.55086812228271,0.490035917248768,0.309230319619276,1.25519780275084
46.0,N/A,N/A,N/A,N/A,N/A,1.39750436402887,1.36209450413616,5.7311317996557,0.913575285755756,2.04003767049907,0.739433749506607,0.52678588,0.340000202905518,0.408870947731988,0.318498347856806,0.463293321317989,0.930509884447514,1.62070089438702,3.31849685915807,2.96244003865019,1.98021123645492,1.16468016280865,0.642210290818184,0.651035810236248,0.342671188629955,1.37401964628235,N/A,0.332578853582392,0.407315199954594,0.869598174251728,0.472495198616176,0.574522135251035,0.572712014992335,0.370025119455579,N/A,1.27339047238073,1.02954220319976,3.22766248695529,N/A,0.844802969767233,0.855441341447687,0.783693482657378,0.756023369828867,0.595221252442911,0.366283948784249,1.07677826898082,0.795103874688475,1.13785001240425,0.70117652548722,N/A,0.398571447250569,0.461370895460255,0.880441448292184,0.32927960705389,0.60152753801063,0.613618055993097,0.898510783662008,0.997458596549867,1.15389671901062,0.627398774853221,0.813003001319058,0.272836502137122,0.580567077970913,0.839308185955223,0.661709809998607,0.574125112488433,0.314817332812721,1.1813107292268
47.0,N/A,N/A,N/A,N/A,N/A,1.37603545715747,1.58847788248766,N/A,1.27110178660179,3.24437350073765,0.888453507792428,0.60545545,0.394363108144928,0.443416576046875,0.202805822450254,0.372133034732997,1.03407361021001,1.94587394284534,3.10947533032553,3.77081740263963,2.20091320829841,1.35658199815836,0.949247483788614,1.12990341577966,0.395234006939065,1.36133996738679,N/A,N/A,0.433879786941936,N/A,0.492714999349426,N/A,0.508635410790847,0.375211215296317,N/A,1.28891094669627,1.359497109447,N/A,N/A,N/A,0.91251240066219,0.747303496790729,0.896652401590388,0.60341000349237,0.397424419851595,1.58480563986954,0.704393420040966,1.19468708410093,0.678676791872813,N/A,0.448525553160227,0.424883210249496,0.87227523407887,0.353901813955384,0.486732654660778,0.725470017800039,1.07555497530871,1.0130786269808,1.1604783146869,0.58702669627934,0.884834784958862,0.372771208576936,0.433925774913527,0.961737566542187,N/A,0.679655020920033,0.381254418805116,1.31017534633773
48.0,N/A,N/A,N/A,N/A,N/A,1.6055019917117,1.34078910282965,N/A,1.78527848517257,7.08737702105008,1.22517349795709,0.72564963,0.47693876215961,0.466092766930273,0.259988721695931,0.3958293755986,0.859715145229985,2.40889508263187,3.07360956505882,5.63906393577805,4.65889809814108,1.50161904339382,1.16295138927989,1.79685326540869,0.736952556075749,N/A,N/A,N/A,0.855969726181388,N/A,N/A,N/A,N/A,0.359726183357581,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.790145100832128,1.61398835904922,0.780888778791736,0.563015001180517,1.79485696005501,0.834769941968244,1.29589795709197,1.31329968185552,N/A,0.645502124412787,0.544075575943544,1.10834694730503,0.640935309496936,0.595821728154032,0.834108854200228,0.747329105260871,1.02855527959876,1.2755588776082,0.594313083666336,0.963746023097095,0.489845227384847,0.569209479005271,0.847986445469579,N/A,0.804528325278142,0.508102811789807,0.970484649655657
49.0,N/A,N/A,N/A,N/A,N/A,2.07310484404489,1.36600396322794,N/A,2.35892502073811,N/A,1.79127827836113,0.88216095,0.570364595782343,0.943016089999048,0.596813509326568,0.402499224234825,0.783169020515069,4.7770297090793,4.96625831416423,N/A,N/A,1.72248042118622,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.21460828459003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.938184725630199,N/A,1.35299389549259,1.7643834997112,1.32757126471228,1.09350659524672,2.56034339150363,N/A,N/A,0.489886536391998,0.769170526894537,N/A,N/A,0.567721980565917,1.14769765455704,0.829049868573337,N/A,N/A,0.386679230251207,1.04875042994402,3.70041300800602,N/A,1.38954943147274,N/A,0.947327180077818,0.963902561323061,1.80442408471444
50.0,N/A,2.0,2.0,N/A,1.0,2.48118300541031,1.26575367293677,N/A,N/A,N/A,N/A,1.0774621,0.632198655259415,N/A,1.57247672875511,0.423324341098394,0.584735344697491,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.22894444408207,N/A,2.61198844200393,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.7894880455493,N/A,N/A,3.82370829838503,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.881509085880232,N/A,N/A,0.943602727396218,1.45848101998219,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
