depth,2018-01-11,2018-02-07,2018-03-15,2018-04-12,2018-05-16,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-10-10,2018-11-14,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13
0.0,2.841189651474286,28.797437156762072,16.461679968170007,19.14662443935597,14.293323048301838,13.419620725282975,15.80443667918291,15.535190028374116,7.286355940017827,5.586618559615389,3.24,25.7,11.3,16.0,0.5,3.25,8.9,8.3,17.5,1.6830967741935488,13.349718749999996,14.62190322580645,19.239899999999995,18.1529,10.1091,5.333312903225806,8.4786,20.80293103448276,46.58571428571429,4.002136363636364,17.527875,14.2397,11.957,17.5007,39.2407,23.16434482758621,15.7615,46.07477419354839,18.30367741935484,53.154300000000006,11.571290322580646,154.52123076923075,24.194516129032262,19.47282857142857,43.60077777777778,37.8276,7.309137931034484,16.642344827586207,9.015705882352943,18.5877,19.67844827586207,58.11567857142858,14.05603448275862,8.142309375000002,31.1969,6.522,24.605727272727272,10.940129032258064,11.529964285714286
0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,28.39761229994113,29.69041389471805,17.397856156528658,18.69675962373307,17.46958277559725,15.272905440780605,14.00784660713965,14.469162030925476,9.513659383829866,5.586618559615389,7.27,21.7,4.3,16.0,5.5,6.687499999999999,11.9,9.3,3.5,1.6830967741935488,21.50221875,3.0506129032258062,7.282900000000001,17.0659,17.7181,8.48911935483871,18.2616,9.558103448275864,9.31714285714286,,4.716803571428572,27.283700000000003,17.392,17.5007,39.2407,38.90710344827587,12.5005,23.984129032258068,10.940129032258064,30.327300000000005,21.03870967741936,54.18276923076924,21.03870967741936,12.950828571428572,29.107444444444443,19.3486,8.433620689655175,18.891310344827588,24.36158823529412,25.1097,27.54982758620689,46.46925,15.180517241379311,11.199496875,39.8929,19.36836363636364,23.617545454545454,14.095935483870967,11.529964285714286
10.0,1.928460271171899,29.69041389471805,17.397856156528658,20.046354070601783,16.108328606756363,11.103014830910936,12.660404053107202,12.692448701844407,9.513659383829866,3.277036658607765,6.82,23.700000000000003,4.3,13.0,1.5,4.8125,9.9,10.3,6.5,3.786967741935485,8.254406249999999,7.258354838709678,4.0219000000000005,8.369900000000001,10.1091,4.281377419354839,7.3916,9.558103448275864,9.31714285714286,1.0375909090909092,4.716803571428572,33.8057,10.87,18.5877,29.4577,22.03986206896552,11.4135,19.7763870967742,9.8881935483871,23.805300000000003,26.2983870967742,61.85709375,24.194516129032262,13.88254285714286,48.431888888888885,73.65362068965518,12.931551724137933,16.642344827586207,14.770411764705884,25.1097,34.29672413793104,42.97532142857143,10.682586206896552,11.199496875,36.6319,26.285636363636364,29.54663636363636,11.992064516129034,10.365321428571429
15.0,1.0157308908695115,30.13690226369603,17.397856156528658,20.49621888622469,20.645842502892663,16.66286897740383,14.90614164316128,14.91334036319574,21.98655866917728,8.820033221026065,14.41,23.700000000000003,5.3,11.0,0.5,4.8125,6.9,6.3,4.5,16.4101935483871,7.23534375,6.20641935483871,22.5009,9.4569,25.3271,4.281377419354839,7.3916,11.807068965517242,9.31714285714286,,36.16216071428572,21.8487,20.653,10.9787,27.283700000000003,15.29296551724138,10.3265,15.568645161290323,9.8881935483871,20.5443,28.40225806451613,61.85709375,38.92161290322581,13.88254285714286,26.69188888888889,34.5666,61.2843103448276,22.26475862068965,17.647764705882356,26.1967,32.047758620689656,35.98746428571429,12.931551724137933,9.161371875,32.2839,25.297454545454546,27.57027272727273,9.8881935483871,9.200678571428572
20.0,1.0157308908695115,28.797437156762072,18.802120439066638,23.19540777996212,20.19209111327904,212.1844064624038,14.90614164316128,16.69005369227681,13.522805582691534,51.77825657976788,9.05,33.7,5.3,12.0,0.5,2.9375,8.9,5.3,9.5,5.89083870967742,8.254406249999999,3.0506129032258062,4.0219000000000005,23.5879,19.8921,4.281377419354839,7.3916,15.180517241379311,10.481785714285715,4.002136363636364,4.716803571428572,31.6317,14.131000000000002,18.5877,28.370700000000003,15.29296551724138,11.4135,40.81509677419356,15.147870967741936,21.631300000000003,21.03870967741936,54.723656250000005,11.571290322580646,13.88254285714286,37.561888888888895,73.65362068965518,17.42948275862069,21.140275862068965,40.66658823529412,25.1097,48.915,13.85925,11.807068965517242,13.237621875,37.7189,27.27381818181819,36.46390909090909,7.784322580645162,8.036035714285715
30.0,1.928460271171899,29.24392552574006,26.291529945935824,33.99216335491185,26.090859178256235,41.68221263662184,26.134829593431668,23.35272867633081,25.995704868038956,45.77334363714805,7.27,31.7,17.3,32.0,2.5,3.875,7.9,27.3,7.5,4.838903225806452,22.52128125,3.0506129032258062,12.7179,17.0659,19.8921,5.333312903225806,8.4786,10.682586206896552,9.31714285714286,,10.540017857142857,28.370700000000003,11.957,14.239700000000004,29.4577,18.66641379310345,10.3265,134.54254838709682,11.992064516129034,18.3703,26.2983870967742,56.69123076923076,16.830967741935485,23.199685714285717,42.393,40.00160000000001,11.807068965517242,24.513724137931035,43.5439411764706,34.8927,28.67431034482759,28.999607142857148,18.55396551724138,10.180434375,45.3279,52.966545454545454,27.57027272727273,22.51141935483871,9.200678571428572
40.0,2.841189651474286,31.02987900165201,30.504322793549743,36.69135224864929,34.712135580915216,30.56250434363605,32.8720423635939,34.90136531535774,35.350379332049506,93.3507307979051,24.24,32.7,8.3,29.0,2.5,9.5,11.9,28.3,9.5,2.7350322580645163,10.29253125,3.0506129032258062,7.282900000000001,14.8919,28.588100000000004,5.333312903225806,8.4786,24.17637931034483,13.975714285714286,,8.210732142857143,30.5447,21.74,16.4137,35.979699999999994,20.91537931034483,14.6745,59.74993548387098,13.044,14.0223,26.2983870967742,54.18276923076924,15.779032258064516,20.404542857142857,71.1381111111111,44.34960000000001,10.682586206896554,33.50958620689656,27.23894117647059,37.0667,33.17224137931035,33.65817857142858,9.558103448275862,25.466371875,47.5019,61.86018181818183,52.27481818181818,40.39432258064516,24.34103571428572
50.0,,,31.440498981908394,38.490811511140905,38.34214669782427,27.3192560915152,36.914370025691234,40.23150530260093,38.46860415338636,42.07801259553585,61.32,35.7,17.3,52.0,2.5,8.875,32.9,25.300000000000004,8.5,3.786967741935485,14.36878125,1.998677419354839,10.5439,18.1529,18.805100000000003,10.592990322580649,24.783600000000003,17.42948275862069,8.1525,,21.02180357142857,32.7187,27.175000000000004,27.283700000000003,38.1537,31.03572413793104,17.9355,19.7763870967742,15.147870967741936,21.631300000000003,25.24645161290323,76.75892307692307,21.03870967741936,22.267971428571425,71.1381111111111,46.5236,39.91913793103449,38.00751724137931,30.116294117647055,53.3717,45.54155172413794,34.82282142857144,12.931551724137933,28.523559375,55.1109,56.91927272727273,88.047,50.91367741935484,38.31675
60.0,4.66664841207906,31.922855739607986,32.84476326444637,38.490811511140905,35.61963836014248,13.88294190415738,38.26181257972368,40.23150530260093,39.80498621967359,41.61609621533433,42.56,31.7,62.3,61.0,63.5,17.625,65.9,50.3,8.5,2.7350322580645163,16.406906250000002,3.0506129032258062,14.8919,24.6749,29.6751,19.008474193548388,15.0006,16.305000000000003,19.79892857142857,,9.375375,39.2407,34.784,28.370700000000003,45.7627,22.03986206896552,35.3275,35.55541935483871,33.03077419354839,35.7623,39.97354838709678,61.70815384615384,27.35032258064516,30.65340000000001,69.93033333333334,48.6976,50.0394827586207,55.99924137931035,34.911882352941184,38.1537,54.537413793103454,44.139964285714285,24.176379310344828,27.504496875,52.9369,61.86018181818183,67.66575,56.173354838709685,52.29246428571428
80.0,6.492107172683834,32.36934410858597,33.78093945280502,45.23878374548449,33.80463280168796,13.88294190415738,46.34646790391836,18.466767021357875,38.02314346462396,37.92076517372213,40.32,84.7,90.29999999999998,96.0,98.5,32.625,97.9,90.29999999999998,46.5,78.264,53.09315625,16.72577419354839,55.1109,75.410625,68.6848125,55.82621612903227,45.436600000000006,72.72030000000001,90.2889375,60.328500000000005,21.02180357142857,74.47703225806453,65.22,56.63269999999999,76.26532258064518,55.77434482758622,58.1545,56.59412903225807,64.58883870967742,75.65520000000001,86.15351612903227,118.14853846153844,52.59677419354839,27.858257142857145,82.00811111111112,65.0026,53.41293103448277,82.57317857142857,57.93070588235295,66.4157,76.3074,70.92675,51.16396551724138,55.019184375,58.3719,77.68167857142856,66.6466875,64.58883870967743,54.62175
100.0,16.0757656658589,31.922855739607986,35.185203735342995,38.040946695518,36.52714113936975,209.86780056803173,32.42289484558308,37.56643530897933,37.13222208709914,37.92076517372213,22.9,137.70000000000002,126.3,126.0,126.5,42.93749999999999,132.9,131.3,139.5,102.7215,105.3303,79.8945,105.9825,119.2303125,124.73325,113.048,129.70364516129035,124.8963,121.879875,97.22611111111112,128.19103448275865,123.918,124.65435483870968,135.38409677419352,96.25209677419356,115.4394,96.25209677419356,125.07512903225806,110.874,118.0482,145.06190322580647,215.9785384615385,117.09028125,,130.31922222222224,118.63293103448277,69.52241612903228,131.48817857142856,95.72612903225809,108.1565,145.8754,138.47603571428573,88.8079,109.85493749999998,59.45889999999999,110.2916785714286,72.7610625,79.94709677419355,93.482
150.0,43.00128238477932,33.26232084654195,35.185203735342995,37.5910818798951,37.43464391859701,25.00265019714316,34.219484917626346,37.74410664188744,45.59597517358488,,41.66,143.7,135.3,126.0,141.49999999999997,47.31249999999999,150.9,151.29999999999998,171.5,149.59837499999998,165.1153,128.8095,165.08812500000002,158.97375,172.62918750000003,170.65900000000002,189.6639677419355,174.89830000000003,175.8901875,178.1472222222222,208.0293103448276,193.3457419354839,167.78370967741935,170.0979677419355,143.58919354838713,166.5284,181.45887096774192,202.9183548387097,188.71722580645164,182.1812,176.6199677419355,217.2327692307693,166.00528125,,231.7725555555556,153.49189655172418,196.80660967741937,225.82425,211.4390322580645,195.1165,217.6174,220.00103571428576,130.1139,208.704,196.2035,203.46310714285715,146.1335625,152.53064516129032,171.74599999999998
200.0,49.39038804689604,32.36934410858597,35.185203735342995,38.490811511140905,38.34214669782427,37.512322026752166,33.32118988160472,38.45479197351987,39.35952553091118,39.76843069452823,40.77,130.70000000000002,145.29999999999998,130.0,145.5,50.74999999999999,165.9,147.29999999999998,189.5,160.80806249999998,183.5943,149.19074999999998,180.3740625,201.774375,185.877,197.834,214.91041935483872,194.4643,205.443,178.1472222222222,217.02517241379317,212.2805806451613,163.5759677419355,209.01958064516128,221.43241935483871,203.4864,220.3804838709677,191.34706451612905,226.58690322580645,228.9222,236.5802903225807,376.520076923077,185.36746875,,261.967,217.58741379310348,218.89725483870967,268.9160357142857,196.711935483871,239.6835,235.0094,305.0199642857143,224.6829,248.4474375,261.4235,302.45775000000003,164.4766875,231.4258064516129,252.184
250.0,60.34314061052468,34.60178595347592,35.185203735342995,37.5910818798951,36.980892528983375,27.78257727038961,36.016074989669605,39.3431486380604,38.46860415338636,46.23526001734957,43.0,145.7,147.29999999999998,137.0,157.5,50.74999999999999,167.9,174.29999999999998,188.5,185.2655625,217.29130000000004,180.78168749999995,192.6028125,216.04125,222.56325,247.836,224.37783870967743,224.9003,238.053,240.95166666666665,251.88413793103453,253.30606451612903,243.52306451612907,247.9411935483872,233.00370967741935,225.2264,241.4191935483871,239.7360967741936,253.93722580645164,271.31519999999995,260.7748064516129,389.06238461538464,199.63434375,,310.2781111111111,273.811551724138,266.23435161290325,257.2696071428572,252.46451612903223,270.1195,277.4024,306.1846071428572,245.3359,256.5999375,289.68550000000005,302.45775000000003,233.7729375,258.7761290322581,261.967
255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300.0,,,39.86608467713624,45.23878374548449,43.3334119835742,81.06451284094648,35.117779953647975,54.0010336029792,46.4868965511097,47.15909277775263,55.06,174.7,173.29999999999998,229.0,179.5,55.43749999999999,202.90000000000003,198.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310.0,93.6577629915618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315.0,,36.83422779836585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
