location,date,depth_group,value_chlorophyll_a,measurement_count_chlorophyll_a,value_dissolved_oxygen,measurement_count_dissolved_oxygen
SA,2014-02-18,Surface,3.2544075661787337,10,7.60904752055894,10
SA,2014-02-18,Mid-Depth,4.886576399017274,10,7.266,10
SA,2014-02-18,Lower Photic,3.507490110101724,10,6.8180000000000005,10
SA,2014-02-18,Deep,3.158719954306929,22,6.439069707308709,22
SA,2014-03-26,Surface,0.5750857142857143,10,7.465999999999999,10
SA,2014-03-26,Mid-Depth,3.129142857142857,10,7.033,10
SA,2014-03-26,Lower Photic,2.6554043834081824,10,5.949,10
SA,2014-03-26,Deep,0.8387350037130111,22,4.264765373738981,22
SA,2014-04-22,Surface,1.34,10,6.988,10
SA,2014-04-22,Mid-Depth,1.855,10,6.726999999999999,10
SA,2014-04-22,Lower Photic,2.182,10,5.93,10
SA,2014-04-22,Deep,0.5917575158163477,22,2.991327750740296,22
SA,2014-05-19,Surface,1.0155,10,7.149499999999999,10
SA,2014-05-19,Mid-Depth,1.433,10,7.039,10
SA,2014-05-19,Lower Photic,1.073,10,6.697,10
SA,2014-05-19,Deep,0.4975757575757576,22,4.114545454545454,22
SA,2014-06-24,Surface,1.371,10,7.42,10
SA,2014-06-24,Mid-Depth,1.363,10,7.303,10
SA,2014-06-24,Lower Photic,1.326,10,6.265,10
SA,2014-06-24,Deep,0.4631818181818181,22,3.2624242424242422,22
SA,2014-07-22,Surface,0.6140000000000001,10,6.968999999999999,10
SA,2014-07-22,Mid-Depth,1.215,10,6.919,10
SA,2014-07-22,Lower Photic,1.209,10,6.4590000000000005,10
SA,2014-07-22,Deep,0.4874999999999999,22,3.060378787878788,22
SA,2014-08-12,Surface,1.048,10,7.287999999999999,10
SA,2014-08-12,Mid-Depth,1.393,10,7.108,10
SA,2014-08-12,Lower Photic,1.438,10,6.7,10
SA,2014-08-12,Deep,0.6010520953957537,22,3.1313010598131386,22
SA,2014-09-08,Surface,1.311,10,8.089,10
SA,2014-09-08,Mid-Depth,1.6329999999999998,10,7.796000000000001,10
SA,2014-09-08,Lower Photic,1.012,10,7.256,10
SA,2014-09-08,Deep,0.5309848484848486,22,3.0979545454545456,22
SA,2014-10-07,Surface,2.416,10,8.476,10
SA,2014-10-07,Mid-Depth,3.455,10,8.123,10
SA,2014-10-07,Lower Photic,1.847,10,7.344999999999999,10
SA,2014-10-07,Deep,0.4542977025062711,22,3.045806948316232,22
SA,2014-11-11,Surface,3.05,10,7.858,10
SA,2014-11-11,Mid-Depth,3.532,10,7.644,10
SA,2014-11-11,Lower Photic,2.274,10,7.152000000000001,10
SA,2014-11-11,Deep,1.5454633273469782,22,4.6644136947709205,22
SA,2014-12-08,Surface,2.8155,10,6.933,10
SA,2014-12-08,Mid-Depth,3.351,10,6.929,10
SA,2014-12-08,Lower Photic,3.567,10,6.961,10
SA,2014-12-08,Deep,3.967727272727273,22,6.9556818181818185,22
SA,2015-01-13,Surface,3.1979999999999995,10,7.27223406870409,10
SA,2015-01-13,Mid-Depth,4.276000000000001,10,6.941262519495123,10
SA,2015-01-13,Lower Photic,4.405,10,5.994193200628852,10
SA,2015-01-13,Deep,4.475227272727272,22,3.644518914539619,22
SA,2015-02-10,Surface,3.136,10,6.416999999999999,10
SA,2015-02-10,Mid-Depth,2.059,10,4.615,10
SA,2015-02-10,Lower Photic,1.593,10,4.786,10
SA,2015-02-10,Deep,1.8758333333333328,22,5.863484848484847,22
SA,2015-03-10,Surface,2.96,10,7.138000000000001,10
SA,2015-03-10,Mid-Depth,4.984,10,6.872,10
SA,2015-03-10,Lower Photic,4.583,10,6.272,10
SA,2015-03-10,Deep,5.040530303030303,22,6.674242424242425,22
SA,2015-04-14,Surface,0.776,10,7.633,10
SA,2015-04-14,Mid-Depth,1.168,10,7.189,10
SA,2015-04-14,Lower Photic,1.0720000000000005,10,6.586,10
SA,2015-04-14,Deep,0.5587878787878787,22,4.053484848484849,22
SA,2015-06-09,Surface,0.711,10,7.372999999999999,10
SA,2015-06-09,Mid-Depth,0.929,10,7.391999999999999,10
SA,2015-06-09,Lower Photic,0.937,10,6.138999999999999,10
SA,2015-06-09,Deep,0.5393939393939392,22,3.6399242424242426,22
SA,2015-07-14,Surface,1.2520000000000002,10,7.168000000000001,10
SA,2015-07-14,Mid-Depth,1.988,10,7.208999999999999,10
SA,2015-07-14,Lower Photic,1.437,10,7.083,10
SA,2015-07-14,Deep,0.7236363636363637,22,3.436818181818182,22
SA,2015-08-10,Surface,1.357,10,7.478999999999999,10
SA,2015-08-10,Mid-Depth,1.645,10,7.390000000000001,10
SA,2015-08-10,Lower Photic,1.19,10,6.746,10
SA,2015-08-10,Deep,0.730378787878788,22,3.538863636363637,22
SA,2015-09-09,Surface,1.594,10,7.817,10
SA,2015-09-09,Mid-Depth,2.521,10,7.741,10
SA,2015-09-09,Lower Photic,2.26,10,6.681,10
SA,2015-09-09,Deep,0.6046969696969697,22,2.564469696969697,22
SA,2015-10-06,Surface,1.836,10,7.973000000000001,10
SA,2015-10-06,Mid-Depth,2.045,10,7.608,10
SA,2015-10-06,Lower Photic,1.287,10,5.99,10
SA,2015-10-06,Deep,0.4741666666666667,22,2.3795454545454544,22
SA,2015-11-11,Surface,2.4915392856423737,10,7.259,10
SA,2015-11-11,Mid-Depth,3.0906202603698234,10,6.906000000000001,10
SA,2015-11-11,Lower Photic,2.576048265567105,10,6.0920000000000005,10
SA,2015-11-11,Deep,1.4276198709673351,22,2.7603388556645028,22
SA,2016-01-19,Surface,1.8560000000000003,10,7.324000000000001,10
SA,2016-01-19,Mid-Depth,2.124,10,7.286,10
SA,2016-01-19,Lower Photic,2.3470000000000004,10,7.079000000000001,10
SA,2016-01-19,Deep,1.6234848484848483,22,5.8981818181818175,22
SA,2016-02-16,Surface,3.079947655254644,10,6.662999999999999,10
SA,2016-02-16,Mid-Depth,2.7880000000000003,10,6.82,10
SA,2016-02-16,Lower Photic,2.4855,10,6.856999999999999,10
SA,2016-02-16,Deep,2.308181818181818,22,7.017348484848484,22
SA,2016-03-01,Surface,3.553,10,8.027,10
SA,2016-03-01,Mid-Depth,3.173,10,7.239,10
SA,2016-03-01,Lower Photic,1.972,10,6.491,10
SA,2016-03-01,Deep,1.4427272727272726,22,6.369545454545456,22
SA,2016-04-12,Surface,1.759,10,8.031,10
SA,2016-04-12,Mid-Depth,2.3070000000000004,10,7.926999999999998,10
SA,2016-04-12,Lower Photic,1.235,10,6.105,10
SA,2016-04-12,Deep,0.3359090909090909,22,4.406742424242424,22
SA,2016-05-17,Surface,0.7969999999999999,10,7.8809999999999985,10
SA,2016-05-17,Mid-Depth,1.243,10,7.712999999999999,10
SA,2016-05-17,Lower Photic,0.759,10,5.159,10
SA,2016-05-17,Deep,0.2252272727272727,22,3.300303030303031,22
SA,2016-06-14,Surface,0.479,10,7.832000000000001,10
SA,2016-06-14,Mid-Depth,1.038,10,7.786000000000001,10
SA,2016-06-14,Lower Photic,0.996,10,6.125,10
SA,2016-06-14,Deep,0.3159848484848485,22,2.6539393939393943,22
SA,2016-07-12,Surface,0.8859999999999999,10,7.536,10
SA,2016-07-12,Mid-Depth,1.249,10,7.499,10
SA,2016-07-12,Lower Photic,0.963,10,6.034000000000001,10
SA,2016-07-12,Deep,0.3241666666666666,22,2.79939393939394,22
SA,2016-08-09,Surface,0.792,10,7.849000000000001,10
SA,2016-08-09,Mid-Depth,1.28,10,7.824,10
SA,2016-08-09,Lower Photic,1.539,10,7.100999999999999,10
SA,2016-08-09,Deep,0.6162121212121213,22,3.031515151515152,22
SA,2016-09-06,Surface,0.497,10,7.577,10
SA,2016-09-06,Mid-Depth,0.8400000000000001,10,7.501,10
SA,2016-09-06,Lower Photic,0.844,10,6.906000000000001,10
SA,2016-09-06,Deep,0.3584848484848484,22,2.3403787878787883,22
SA,2016-10-11,Surface,0.639,10,7.354999999999999,10
SA,2016-10-11,Mid-Depth,1.5379999999999998,10,7.319,10
SA,2016-10-11,Lower Photic,1.835,10,7.117,10
SA,2016-10-11,Deep,0.5908143719339326,22,2.592860512202623,22
SA,2016-11-08,Surface,1.47,10,7.607000000000001,10
SA,2016-11-08,Mid-Depth,1.8040000000000005,10,7.51,10
SA,2016-11-08,Lower Photic,2.2,10,7.162000000000001,10
SA,2016-11-08,Deep,1.2381060606060603,22,3.709015151515152,22
SA,2016-12-05,Surface,1.3119999999999998,10,7.794,10
SA,2016-12-05,Mid-Depth,1.611,10,7.624,10
SA,2016-12-05,Lower Photic,1.0710000000000002,10,7.042,10
SA,2016-12-05,Deep,0.7399242424242426,22,6.141666666666668,22
SA,2017-02-07,Surface,1.383,10,6.282,10
SA,2017-02-07,Mid-Depth,1.5060000000000002,10,6.289,10
SA,2017-02-07,Lower Photic,1.5100000000000002,10,6.161999999999999,10
SA,2017-02-07,Deep,1.2718939393939397,22,6.657954545454545,22
SA,2017-03-13,Surface,1.843,10,7.699,10
SA,2017-03-13,Mid-Depth,1.626,10,7.011,10
SA,2017-03-13,Lower Photic,1.225,10,6.535000000000001,10
SA,2017-03-13,Deep,0.6609090909090909,22,5.132651515151514,22
SA,2017-04-18,Surface,0.859,10,7.9,10
SA,2017-04-18,Mid-Depth,1.117,10,7.802000000000001,10
SA,2017-04-18,Lower Photic,0.961,10,7.253,10
SA,2017-04-18,Deep,0.5663636363636363,22,4.93189393939394,22
SA,2017-05-16,Surface,0.729,10,7.943,10
SA,2017-05-16,Mid-Depth,0.902,10,7.467,10
SA,2017-05-16,Lower Photic,0.639,10,6.654000000000001,10
SA,2017-05-16,Deep,0.3054545454545455,22,3.893787878787879,22
SA,2017-06-13,Surface,1.3770000000000002,10,8.169,10
SA,2017-06-13,Mid-Depth,1.495,10,7.837000000000001,10
SA,2017-06-13,Lower Photic,0.8219999999999998,10,5.957,10
SA,2017-06-13,Deep,0.3203787878787879,22,3.3401515151515144,22
SA,2017-07-11,Surface,0.777,10,8.393,10
SA,2017-07-11,Mid-Depth,1.039,10,8.248000000000001,10
SA,2017-07-11,Lower Photic,1.06,10,6.863,10
SA,2017-07-11,Deep,0.2907575757575757,22,3.501969696969698,22
SA,2017-08-08,Surface,1.068,10,8.045999999999998,10
SA,2017-08-08,Mid-Depth,1.171,10,7.901000000000001,10
SA,2017-08-08,Lower Photic,0.842,10,5.420999999999999,10
SA,2017-08-08,Deep,0.2776515151515152,22,2.9421969696969694,22
SA,2017-09-12,Surface,1.312,10,7.270999999999999,10
SA,2017-09-12,Mid-Depth,1.121,10,7.108,10
SA,2017-09-12,Lower Photic,0.85,10,5.504,10
SA,2017-09-12,Deep,0.2089393939393939,22,1.531439393939394,22
SA,2017-10-12,Surface,0.596,10,5.930000000000001,10
SA,2017-10-12,Mid-Depth,1.18,10,5.885,10
SA,2017-10-12,Lower Photic,1.504,10,5.537999999999999,10
SA,2017-10-12,Deep,0.4075757575757575,22,1.4798484848484852,22
SA,2017-11-07,Surface,1.135,10,7.529000000000001,10
SA,2017-11-07,Mid-Depth,1.99,10,7.305,10
SA,2017-11-07,Lower Photic,1.956,10,6.441,10
SA,2017-11-07,Deep,0.7192424242424242,22,2.138484848484848,22
SA,2017-12-13,Surface,1.9070000000000005,10,3.883,10
SA,2017-12-13,Mid-Depth,2.338,10,3.796,10
SA,2017-12-13,Lower Photic,2.466,10,3.705000000000001,10
SA,2017-12-13,Deep,2.337045454545456,22,3.650227272727273,22
SA,2018-01-11,Surface,8.752287026428798,10,6.560410735436544,10
SA,2018-01-11,Mid-Depth,6.28692750696432,10,6.320161994352588,10
SA,2018-01-11,Lower Photic,5.654546299790479,10,6.242815082827719,10
SA,2018-01-11,Deep,5.85072548993748,22,6.1620758662859485,22
SA,2018-02-07,Surface,7.878703237897696,10,5.263232190617337,10
SA,2018-02-07,Mid-Depth,4.271905410142258,10,4.775561536605177,10
SA,2018-02-07,Lower Photic,3.624603581135217,10,5.174517277278414,10
SA,2018-02-07,Deep,2.909738618579068,22,5.025477598355542,22
SA,2018-03-13,Surface,7.261936698745066,10,6.615650826413787,10
SA,2018-03-13,Mid-Depth,8.920386000528863,10,5.887541883086101,10
SA,2018-03-13,Lower Photic,9.448971286538251,10,5.284195420680818,10
SA,2018-03-13,Deep,6.556422660535953,22,3.624359462475398,22
SA,2018-04-10,Surface,2.877489439674273,10,6.94987953362254,10
SA,2018-04-10,Mid-Depth,2.419978705185602,10,6.239647611958683,10
SA,2018-04-10,Lower Photic,1.9795940739743507,10,5.431252556990252,10
SA,2018-04-10,Deep,0.6943583432047271,22,2.7105738590463666,22
SA,2018-05-15,Surface,1.9890922544297167,10,7.315734074903753,10
SA,2018-05-15,Mid-Depth,2.5738895369815613,10,6.195670989729013,10
SA,2018-05-15,Lower Photic,1.2544293160524185,10,4.263555409425228,10
SA,2018-05-15,Deep,0.7334180042350227,22,1.6753320028319174,22
SA,2018-06-12,Surface,2.328827108896434,10,7.080478981907223,10
SA,2018-06-12,Mid-Depth,1.9928486213723555,10,6.880760385833669,10
SA,2018-06-12,Lower Photic,1.1723648633948294,10,4.491299094397064,10
SA,2018-06-12,Deep,0.6274383974911077,22,2.058347708849234,22
SA,2018-07-17,Surface,2.513865501,10,6.969427111,10
SA,2018-07-17,Mid-Depth,2.947426491,10,6.925100509000001,10
SA,2018-07-17,Lower Photic,5.012698192999999,10,6.802457135999999,10
SA,2018-07-17,Deep,1.1983978314335724,22,2.360056605649941,22
SA,2018-08-14,Surface,1.5292082565553833,10,7.063523944849656,10
SA,2018-08-14,Mid-Depth,2.125499455049102,10,6.611197963232501,10
SA,2018-08-14,Lower Photic,1.90585239885023,10,5.685541475903995,10
SA,2018-08-14,Deep,0.8389446794611625,22,2.551204573746643,22
SA,2018-09-11,Surface,2.15439224240905,10,7.156022970970686,10
SA,2018-09-11,Mid-Depth,2.68106496836621,10,6.334349201449102,10
SA,2018-09-11,Lower Photic,1.9045275989657129,10,4.89176710177402,10
SA,2018-09-11,Deep,0.913369319461593,22,1.7197900180424506,22
SA,2018-09-24,Surface,1.949981528948277,10,7.769823533711144,10
SA,2018-09-24,Mid-Depth,1.364167616595907,10,6.937945155122276,10
SA,2018-09-24,Lower Photic,0.9607974684821118,10,5.233336013285579,10
SA,2018-09-24,Deep,0.5628220465129435,22,1.2112746300466546,22
SA,2018-11-14,Surface,2.714807095129829,10,6.845965564599332,10
SA,2018-11-14,Mid-Depth,3.2430496042905235,10,6.727807333616876,10
SA,2018-11-14,Lower Photic,2.6108436754580127,10,6.290873050595509,10
SA,2018-11-14,Deep,0.9615655589530828,22,1.8963316695012609,22
SA,2018-12-12,Surface,1.810013346883298,10,6.255746615238785,10
SA,2018-12-12,Mid-Depth,2.122052677596734,10,6.1643292209146106,10
SA,2018-12-12,Lower Photic,2.115221570587407,10,6.120936296475659,10
SA,2018-12-12,Deep,1.5290469791579684,22,5.567159377917666,22
SA,2019-02-12,Surface,5.687332725419779,10,7.63,10
SA,2019-02-12,Mid-Depth,3.41828417426224,10,7.138,10
SA,2019-02-12,Lower Photic,3.250231343030658,10,6.922,10
SA,2019-02-12,Deep,4.25795722831614,22,8.983306446167711,22
SA,2019-03-12,Surface,7.814047928189458,10,7.487999999999999,10
SA,2019-03-12,Mid-Depth,3.103211173818074,10,6.897,10
SA,2019-03-12,Lower Photic,3.396465523702181,10,6.354,10
SA,2019-03-12,Deep,1.2296696738526092,22,4.036377603078117,22
SA,2019-04-09,Surface,3.3418016170557943,10,7.605000000000001,10
SA,2019-04-09,Mid-Depth,2.568784146999403,10,6.635,10
SA,2019-04-09,Lower Photic,2.192880137513177,10,6.224000000000001,10
SA,2019-04-09,Deep,1.171822021140384,22,4.701368404838752,22
SA,2019-05-14,Surface,1.760399615041472,10,7.41094767514623,10
SA,2019-05-14,Mid-Depth,1.527548072213902,10,6.7725729874141525,10
SA,2019-05-14,Lower Photic,0.7987877327958229,10,4.9627518130873405,10
SA,2019-05-14,Deep,0.5516138286157649,22,2.371295064893292,22
SA,2019-06-12,Surface,1.336600741557334,10,7.246239338688132,10
SA,2019-06-12,Mid-Depth,1.5918136835032333,10,6.835452654296984,10
SA,2019-06-12,Lower Photic,0.901733854831698,10,4.002184310261304,10
SA,2019-06-12,Deep,0.571227630306109,22,2.13990787629888,22
SA,2019-07-12,Surface,2.348391235403748,10,6.945812312389551,10
SA,2019-07-12,Mid-Depth,2.044121051714108,10,6.859319908902317,10
SA,2019-07-12,Lower Photic,1.351413540580777,10,4.646375202254686,10
SA,2019-07-12,Deep,0.6365003158442072,22,1.9904428174906847,22
SA,2019-08-13,Surface,1.3008741274172562,10,7.182337049303806,10
SA,2019-08-13,Mid-Depth,1.7216089930632752,10,6.905210936323508,10
SA,2019-08-13,Lower Photic,1.559891191256447,10,5.397278236007285,10
SA,2019-08-13,Deep,0.6547868611378724,22,1.7738307127940554,22
SA,2019-09-10,Surface,1.7070135208590158,10,7.233249345056417,10
SA,2019-09-10,Mid-Depth,7.41476237350075,10,6.930656289846061,10
SA,2019-09-10,Lower Photic,3.4927395543334647,10,5.374286236990499,10
SA,2019-09-10,Deep,0.882943111092785,22,1.748197136041552,22
SA,2020-02-11,Surface,6.817775079328735,10,7.648947032904277,10
SA,2020-02-11,Mid-Depth,7.55487497263901,10,7.243582805343033,10
SA,2020-02-11,Lower Photic,8.09222813634279,10,6.515730928877645,10
SA,2020-02-11,Deep,4.394187553268791,22,5.227318578592189,22
SA,2020-05-12,Surface,2.074522138005202,10,7.42008373623676,10
SA,2020-05-12,Mid-Depth,3.101882836301979,10,7.030788551707028,10
SA,2020-05-12,Lower Photic,1.601384045821887,10,5.138995151856991,10
SA,2020-05-12,Deep,0.7923798939287732,22,3.3721591677580607,22
SA,2020-06-09,Surface,2.768513302142617,10,7.4200472052231135,10
SA,2020-06-09,Mid-Depth,4.199933338571873,10,6.8196960100146695,10
SA,2020-06-09,Lower Photic,2.6050905649092817,10,5.150150929157892,10
SA,2020-06-09,Deep,0.7501230646839715,22,2.996893227267266,22
SA,2020-07-14,Surface,3.360208299000825,10,7.464983796464331,10
SA,2020-07-14,Mid-Depth,3.603102310693687,10,7.020546455225366,10
SA,2020-07-14,Lower Photic,1.847180620793872,10,4.866110641790605,10
SA,2020-07-14,Deep,0.7381805244747085,22,2.424898757822214,22
SA,2020-08-11,Surface,1.674829307558095,10,6.979406404668831,10
SA,2020-08-11,Mid-Depth,1.808171173661892,10,6.951488781205347,10
SA,2020-08-11,Lower Photic,1.545355992271591,10,4.685954587317112,10
SA,2020-08-11,Deep,0.7064158537538755,22,2.304435770976691,22
SA,2020-09-08,Surface,1.482193203806359,10,7.003987218467924,10
SA,2020-09-08,Mid-Depth,1.5365379643078168,10,6.729294824818206,10
SA,2020-09-08,Lower Photic,0.9193694084167124,10,4.9112520114429,10
SA,2020-09-08,Deep,0.5553959604987919,22,1.3311839010550244,22
SA,2020-10-13,Surface,1.362731184728692,10,7.022828492790953,10
SA,2020-10-13,Mid-Depth,2.607952943381316,10,6.758213405651953,10
SA,2020-10-13,Lower Photic,1.7623666314882371,10,6.003245485480207,10
SA,2020-10-13,Deep,0.6594332020494404,22,1.2665331756423357,22
SA,2020-11-10,Surface,9.514661014562336,10,7.389346680560726,10
SA,2020-11-10,Mid-Depth,5.791107587921809,10,6.717517412978936,10
SA,2020-11-10,Lower Photic,4.302832840833316,10,6.233899570380081,10
SA,2020-11-10,Deep,3.1408650647999816,22,2.4218074331402053,22
SA,2020-12-08,Surface,2.346159692855997,10,6.663434939676565,10
SA,2020-12-08,Mid-Depth,2.399402710430792,10,6.577204972339514,10
SA,2020-12-08,Lower Photic,2.510686707117799,10,6.503495929640147,10
SA,2020-12-08,Deep,1.7375478275409242,22,4.718539838855485,22
SA,2021-01-19,Surface,2.6840776073798533,10,7.066336862612916,10
SA,2021-01-19,Mid-Depth,3.777258195061256,10,6.914628335874473,10
SA,2021-01-19,Lower Photic,3.81723443849071,10,6.608311222704297,10
SA,2021-01-19,Deep,3.8107329062011335,22,6.2642641502453165,22
SA,2021-02-16,Surface,3.379432068765972,10,7.026148467431762,10
SA,2021-02-16,Mid-Depth,3.86528773116857,10,6.340759223347343,10
SA,2021-02-16,Lower Photic,2.582290988017096,10,6.058604069218902,10
SA,2021-02-16,Deep,1.6826779479707938,22,5.421579280125022,22
SA,2021-03-16,Surface,3.135489515498881,10,7.037071882183331,10
SA,2021-03-16,Mid-Depth,2.244651224234037,10,6.4186158881442354,10
SA,2021-03-16,Lower Photic,1.611949442733979,10,6.136505397276963,10
SA,2021-03-16,Deep,1.1490912106638291,22,5.155366965508839,22
SA,2021-04-13,Surface,3.14644322644776,10,7.409080996274639,10
SA,2021-04-13,Mid-Depth,3.1682203028508065,10,6.649171833220803,10
SA,2021-04-13,Lower Photic,2.009615692161278,10,6.282484180024536,10
SA,2021-04-13,Deep,1.4736409840268263,22,5.158419478548257,22
SA,2021-05-11,Surface,1.4306587364361367,10,7.417648661183529,10
SA,2021-05-11,Mid-Depth,2.838991367649506,10,6.8981260387514265,10
SA,2021-05-11,Lower Photic,1.242262779172972,10,5.242440238605156,10
SA,2021-05-11,Deep,0.8553736424131034,22,4.516082254801979,22
SA,2021-06-08,Surface,1.4064873979136563,10,7.473341919395383,10
SA,2021-06-08,Mid-Depth,1.646038253879825,10,6.643858660921507,10
SA,2021-06-08,Lower Photic,1.0445253021918233,10,4.871564203024917,10
SA,2021-06-08,Deep,0.6542416872931283,22,3.6988415861505946,22
SA,2021-07-13,Surface,1.979374414218464,10,7.366769850491487,10
SA,2021-07-13,Mid-Depth,2.15144023178227,10,7.26781289562161,10
SA,2021-07-13,Lower Photic,1.811226891253419,10,4.731810765756382,10
SA,2021-07-13,Deep,0.8171279017529915,22,3.224943007324073,22
SA,2021-08-10,Surface,1.1373086230110685,10,7.397959563881547,10
SA,2021-08-10,Mid-Depth,1.8477183907898271,10,7.219267880211079,10
SA,2021-08-10,Lower Photic,1.5364102130384332,10,5.776673471054756,10
SA,2021-08-10,Deep,0.7960928806108829,22,2.9804810481810544,22
SA,2021-09-07,Surface,1.6937075799950114,10,7.39953755783893,10
SA,2021-09-07,Mid-Depth,2.9706514245300566,10,6.98071169073976,10
SA,2021-09-07,Lower Photic,1.9642999607810665,10,5.491963716927402,10
SA,2021-09-07,Deep,0.8029104902900793,22,2.554726284313802,22
SA,2021-10-12,Surface,2.2831870613484093,10,7.477838734081319,10
SA,2021-10-12,Mid-Depth,3.435739649174888,10,6.731880449009267,10
SA,2021-10-12,Lower Photic,3.033711633551812,10,5.086237004888838,10
SA,2021-10-12,Deep,1.005565281935492,22,2.0086435714718567,22
SA,2021-11-09,Surface,6.724386148914741,10,6.992147713177356,10
SA,2021-11-09,Mid-Depth,6.922864117636583,10,6.819820424785695,10
SA,2021-11-09,Lower Photic,7.576431292041479,10,6.56563934618063,10
SA,2021-11-09,Deep,1.781399917308913,22,2.175244296653012,22
SA,2021-12-07,Surface,2.641214477956673,10,7.093130618294079,10
SA,2021-12-07,Mid-Depth,9.911594147264548,10,6.820217239276522,10
SA,2021-12-07,Lower Photic,10.512919168230578,10,6.344713050892549,10
SA,2021-12-07,Deep,10.562075618471551,22,6.07718680764306,22
SA,2022-01-18,Surface,2.2163984570731463,10,6.764687170344553,10
SA,2022-01-18,Mid-Depth,3.138322615816378,10,6.604742297486278,10
SA,2022-01-18,Lower Photic,1.7963386969273931,10,6.249096877853509,10
SA,2022-01-18,Deep,1.1237837981434673,22,5.883061920984509,22
