location,depth_group,14/02/2014,18/02/2014,19/02/2014,26/02/2014,26/03/2014,22/04/2014,23/04/2014,27/04/2014,19/05/2014,24/06/2014,25/06/2014,22/07/2014,23/07/2014,12/08/2014,13/08/2014,08/09/2014,09/09/2014,25/09/2014,07/10/2014,08/10/2014,11/11/2014,12/11/2014,08/12/2014,09/12/2014,13/01/2015,14/01/2015,10/02/2015,11/02/2015,10/03/2015,11/03/2015,14/04/2015,05/05/2015,09/06/2015,14/07/2015,15/07/2015,10/08/2015,11/08/2015,09/09/2015,06/10/2015,07/10/2015,11/11/2015,12/11/2015,08/12/2015,19/01/2016,20/01/2016,16/02/2016,17/02/2016,01/03/2016,08/03/2016,09/03/2016,12/04/2016,13/04/2016,17/05/2016,18/05/2016,14/06/2016,15/06/2016,12/07/2016,13/07/2016,09/08/2016,10/08/2016,06/09/2016,07/09/2016,11/10/2016,12/10/2016,08/11/2016,09/11/2016,05/12/2016,07/02/2017,08/02/2017,13/03/2017,14/03/2017,18/04/2017,19/04/2017,16/05/2017,17/05/2017,13/06/2017,21/06/2017,11/07/2017,12/07/2017,08/08/2017,09/08/2017,12/09/2017,13/09/2017,12/10/2017,13/10/2017,07/11/2017,08/11/2017,13/12/2017,14/12/2017,11/01/2018,07/02/2018,28/02/2018,13/03/2018,15/03/2018,10/04/2018,12/04/2018,15/05/2018,16/05/2018,12/06/2018,13/06/2018,17/07/2018,18/07/2018,14/08/2018,16/08/2018,11/09/2018,12/09/2018,24/09/2018,10/10/2018,14/11/2018,12/12/2018,12/02/2019,12/03/2019,09/04/2019,14/05/2019,12/06/2019,12/07/2019,13/08/2019,10/09/2019,23/01/2020,11/02/2020,10/03/2020,14/04/2020,12/05/2020,09/06/2020,14/07/2020,11/08/2020,08/09/2020,13/10/2020,10/11/2020,08/12/2020,19/01/2021,16/02/2021,16/03/2021,13/04/2021,11/05/2021,08/06/2021,13/07/2021,10/08/2021,07/09/2021,12/10/2021,09/11/2021,07/12/2021,18/01/2022,08/02/2022,08/03/2022,05/04/2022,10/05/2022,14/06/2022,12/07/2022,09/08/2022,06/09/2022,18/10/2022,08/11/2022,06/12/2022,17/01/2023,14/02/2023,14/03/2023,11/04/2023,09/05/2023,13/06/2023,18/07/2023,16/08/2023,05/09/2023,18/10/2023,14/11/2023,05/12/2023
SA,Surface,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,6.69429135821256,0.8061871350343252,2.1627509994779857,1.3813803682656145,1.63285479096649,4.288455194378361,7.031873404999049,7.295932811643323,6.980397193565194,6.797502865972189,3.8470021342518814,5.144675925925927,4.741177130430765,5.573353985916165,5.270092616326144,5.074610546246551,7.038646170325492,4.945915806976669,4.882989987414842,10.253333333333332,7.128785634246644,15.5,6.770370370370372,9.828571428571427,16.123188405797105,18.63063063063063,5.170542635658915,15.507246376811594,10.588656491426418,10.221810140727971,0.0,6.284289197566892,16.644410987947083,16.476971503267976,8.510607614607615,14.307847560349254,16.130666666666666,14.711822222222224,5.405196581196582,6.287944444444445,21.69922222222222,28.791093333333333,10.2304,19.187048551611586,25.001,72.87933333333332,7.493818181818182,9.833118279569891,19.22092307692308,17.198588235294114,24.473166666666668,28.93558620689656,25.19178383838384,53.93012121212121,36.72231111111111,6.683818930041152,3.2351173708920187,15.39367741935484,10.608111111111112,12.120410256410258,4.968000000000001,18.72407065527065,16.50023179160021,8.64391111111111,40.29885875706215,22.008292101341283,11.691076923076926,4.713904761904762,11.302666666666669,0.0,0.0,1.8068206039076375,1.851895330692594,3.858053471686495,7.293379773907731,9.219913028438716,3.6243124494553074
SA,Mid-Depth,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,10.75975863367507,9.027718460150457,6.99582360458113,7.060063096370029,7.0715964808308325,4.976755127957417,10.302337404395756,8.417400189403379,8.25530212530338,10.28651248567014,7.08618490031504,2.135416666666665,3.1886003387490223,8.315800724417308,7.84103630043034,12.672795396588675,10.278863197606064,6.765396231065242,6.743301883714523,11.446101553946653,10.256125219008126,13.246739273962255,13.268073232039193,21.257142857142856,31.41304347826087,16.10810810810811,9.27906976744186,11.08695652173913,17.019173203962076,13.91252835834834,0.0,7.713704758569707,13.617858016997864,20.001882352941173,9.640484848484848,9.460945454545454,11.96,17.28782222222222,7.496820512820515,7.271833333333334,15.321833333333334,30.75744,20.1664,7.787906976744186,20.33684210526316,34.546,9.54290909090909,12.88,22.523487179487176,19.471529411764703,15.568,19.04595744680851,13.041,43.00163636363636,10.132266666666666,13.309333333333337,17.95735608561108,12.485290322580646,15.617000000000004,12.285538461538462,5.274666666666668,11.105422222222224,18.64672727272728,17.087466666666668,27.59376271186441,30.510819672131152,6.40697435897436,5.940571428571429,9.436,0.0,0.0,1.5084191829484903,1.546049693914296,3.146054027924472,6.088857928505958,7.697218886665185,2.945418010560868
SA,Lower Photic,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,45.48702460888798,25.903493285388823,13.762443081093028,13.713520185903723,13.703990961234927,2.469376798490854,5.005705063003662,11.532587349847978,11.874117159549993,3.0592782734386668,16.086267699809298,4.21875,6.936888992723788,13.751721938232068,13.639811623089976,3.657038745809588,5.117398760111956,12.241729251378338,11.200855394617795,19.72,5.923046421170198,47.31818181818181,13.733333333333336,25.257142857142856,26.63043478260869,12.324324324324325,9.27906976744186,16.304347826086957,28.317899172619352,11.723280595045347,0.0,11.04345613011167,18.269203529476645,11.43744,4.956848484848486,26.15294915254237,4.487159402233759,8.414933333333334,15.09271794871795,9.686833333333334,18.005166666666668,37.71264,43.86225454545455,11.08279069767442,24.743157894736843,21.53655813953489,8.957454545454546,10.802580645161292,11.955282051282053,13.410352941176471,11.368,22.88255319148936,6.332666666666668,54.12527272727273,20.43626666666667,17.329192156862746,3.900281690140845,4.175612903225807,4.883666666666667,8.074769230769233,4.968,7.670755555555556,22.744909090909093,6.354133333333333,26.93884745762712,42.54622950819672,18.95671794871795,3.312,3.8360000000000007,0.0,0.0,0.613214920071048,0.6285127835794023,4.924566157554408,2.4752923923006422,3.129136461344601,4.639152847152848
SA,Deep,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,30.096742620878565,47.809547145073246,24.03322026046058,23.830414669392614,23.791119037251963,2.3218839555810566,7.221007537357571,16.018456860888204,17.130468815882505,5.426820515376563,31.008548216087203,31.68696984535405,30.934147902459152,9.564593435699075,11.395060649049087,3.401875821730933,7.31438338573842,8.624417395809637,8.005681408211386,22.865,8.047158948824578,61.18181818181818,13.733333333333334,30.542857142857137,11.08695652173913,16.513513513513512,13.930232558139531,19.23913043478261,34.568477311269845,14.739421618154308,0.0,7.014478269328043,13.613426489457533,18.1760810935857,4.956848484848486,9.226763636363636,10.12,8.414933333333334,9.148102564102564,5.930166666666668,24.713500000000007,56.00224000000001,78.75534545454546,15.575813953488373,22.70947368421053,28.566,8.957454545454546,5.401290322580646,22.48818390804598,37.22101694915254,14.448,30.93420689655173,8.211000000000002,75.20163636363637,23.87093333333333,56.36192592592593,0.8163380281690141,2.9291612903225808,5.420333333333335,11.294769230769232,1.901333333333333,10.53297777777778,9.279454545454543,3.778133333333333,36.32596610169492,45.08,23.250051282051288,6.597714285714287,2.156,0.0,0.0,0.3446536412078153,0.3532517104789341,6.819133367987845,1.3912227314390468,1.7587117337484253,6.414291993720567
WG,Surface,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,5.714385763470389,2.482946813183009,3.061076823555412,1.4513418808733174,0.8394239750343099,5.664311988214924,3.7452124342991095,7.79286014251152,7.770477129433154,3.1765615839830046,11.379572683173857,3.037830951158868,3.107326227746958,3.010199559267892,3.0357421813717007,7.149407669331012,1.8592005255056048,4.75882598606749,5.074610546246551,9.13,2.970183081643403,31.10606060606061,11.807407407407409,15.066666666666665,14.021739130434783,28.720720720720724,20.596899224806204,33.20474868948504,18.724394881545816,20.54338025499559,0.0,19.267451884700662,60.37558974358976,14.265315555555556,13.99486557886558,44.87982085259373,29.637629629629632,49.193999748901454,9.698529914529916,10.670722222222224,13.711833333333336,35.30264888888889,30.031030303030303,6.989147286821705,18.791,24.55544186046512,6.518060606060605,9.625376344086025,18.34023931623932,25.88884280491858,22.37705555555556,29.99379995108829,23.424036363636365,31.936545454545453,24.9872,11.1361646090535,3.96075117370892,8.261204301075269,13.11255555555556,15.505538461538464,7.012444444444444,14.730903703703705,12.401878787878786,8.787022222222221,24.12531073446328,32.07331147540984,8.828854700854702,13.826285714285712,11.302666666666669,0.0,0.0,1.8068206039076375,1.851895330692594,6.068619476937646,7.293379773907731,9.219913028438716,5.670274106845534
WG,Mid-Depth,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,8.043655956977485,2.699302900686065,2.013891668714791,1.4937966135279042,1.289162392968174,7.854819393317275,3.465422006626216,5.508883087184564,5.887404098701918,12.206302484824311,1.5512190490151654,0.6703179636297397,0.2497044834436542,2.951921367088447,3.2586685909674347,8.590091948030958,24.26973196036224,7.290090708701812,8.164917071199131,9.855,17.169900712889067,42.090909090909086,15.844444444444449,9.54285714285714,14.130434782608695,18.54054054054054,10.093023255813954,16.956521739130434,20.57932062284804,14.77289694136513,0.0,1.6861090909090906,9.062,19.384147450980397,8.274424242424242,10.631854545454548,23.388444444444445,17.144711111111114,8.157333333333334,4.991,10.894333333333336,37.19744,13.9104,21.3858118807166,19.65988760971109,26.778953488372096,7.3474545454545455,10.698709677419355,16.08348717948718,10.379764705882351,16.268,25.348936170212763,29.230281818181822,16.685454545454544,21.294933333333336,19.571591137254902,2.4490140845070423,5.214322580645161,18.032000000000004,10.304,7.268000000000002,11.105422222222224,9.42581818181818,14.809316666666666,20.16242372881356,18.529636363636364,5.0859487179487175,9.357714285714287,7.756,0.0,0.0,1.2398579040852575,1.270788620813828,3.923970320730792,5.004788267644363,6.32679415906901,3.6644018838304553
WG,Lower Photic,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,6.5790083470664245,1.401166375667729,3.59236364603378,3.5218682735331703,3.490513596539192,2.777189252659295,3.929814388998942,4.991963062691636,5.345698158354576,4.717562998716978,1.8843835789866468,4.073935720237262,4.53613709989861,2.2715882317329967,2.088304940589832,5.838050546733099,5.561067217413307,3.0690864225494963,1.95595258528523,5.5295222234330526,5.153155543004199,33.68181818181818,12.17777777777778,10.4,14.891304347826088,14.486486486486484,11.372093023255813,16.73913043478261,17.530602805899584,12.67935324862891,0.0,1.2177454545454554,13.432,10.92224,5.737454545454545,5.714036363636364,23.368,9.846044444444445,8.817846153846155,6.301381485840894,5.930166666666668,34.10624000000001,19.4304,7.787906976744186,10.50736842105263,29.946000000000005,6.908363636363637,11.841290322580646,20.36801801354833,6.844078431372549,11.648,14.935319148936172,29.90501818181819,13.611818181818183,11.835802386139642,12.037234567901235,14.370789709220524,3.552387096774193,10.787,12.533230769230771,9.261333333333337,5.094755555555556,11.03581818181818,11.50613333333333,27.81206779661017,22.481454545454543,4.095179487179488,10.146285714285716,8.036,0.0,0.0,1.2846181172291296,1.3166654663305726,3.962131424465864,5.185466544454629,6.555198280335039,3.6967010132724414
WG,Deep,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,40.45158264840814,1.2388993100404375,2.547001872162329,2.3085756631442207,2.2123096718850523,18.12582682243987,1.9100760910604169,4.775063807251208,5.156531004582488,12.250421841480826,1.2180545190436842,1.674995235870445,1.568606826968256,3.7619280422292976,4.168951430150013,18.92358333799309,26.69018325891727,18.13429960205805,14.341526119017638,8.497777777777777,18.14437447249495,43.32828282828282,7.980246913580249,17.638095238095236,13.53864734299517,15.38738738738739,8.322997416020673,13.93719806763285,22.254952007354493,10.598087760367816,0.0,1.9202909090909093,7.9695,15.24701568627451,5.883818181818182,13.51338243451464,23.444666666666667,17.75196308851224,14.250306089743592,11.429929521276597,17.076062500000003,40.61564888888889,22.251454545454543,17.235210934312526,26.528381578947368,39.565482558139536,19.12997962382445,32.93961693548387,44.63187621573829,37.575762711864414,46.625687500000005,54.27920689655173,52.97326893939395,67.29068181818181,55.07273333333333,10.089333333333334,40.50446092239713,38.0526448879169,64.16875235849058,47.28152834008098,50.08028070175438,54.51294871794872,42.16188166584592,67.95206250000001,61.228144067796606,72.60152235469448,65.59123487179487,57.30819642857143,39.922814814814814,0.0,0.0,6.381977501480166,6.541188599474519,31.12948629389893,25.7613763791289,32.5661979865864,29.15128369487655
WP,Surface,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,4.158065112997527,4.051528447580165,3.0677411207445413,1.5997412423641937,2.063878084171292,2.026898269761461,10.167557752259397,10.53572745850571,10.061264865141618,9.41426008074565,5.715403159253831,3.003472222222221,3.602789774514128,11.254136515668527,10.162745916496643,21.291631943245417,10.22091007036902,3.981459079990482,5.293704251808338,15.111243231803892,10.557613614036914,33.53030303030303,9.659259259259262,8.019047619047619,22.717391304347824,18.540540540540544,10.984496124031006,9.492753623188408,15.746338455213523,13.113069644537315,0.0,1.4519272727272738,12.820807197010364,16.124955120925343,9.720284010109818,11.807930845655685,18.093333333333334,12.135822222222222,7.606905982905984,1.9051666666666671,15.232388888888892,34.70730666666667,35.82647272727272,2.5959689922480624,13.67087719298246,21.93593798449612,8.859878787878786,9.140645161290324,32.27022693781315,107.80632768361583,9.781333333333334,13.199716312056742,11.967666666666668,30.23872727272727,13.280711111111108,8.379950617283951,2.5699530516431928,9.715397849462365,9.177,7.0840000000000005,5.888000000000001,4.617718518518519,8.459646316432615,7.499022222222222,18.292666666666666,12.13842424242424,37.85090735042736,4.889142857142858,5.329333333333333,0.0,0.0,0.8519360568383658,0.8731892930020404,9.303087177456474,3.438909868622059,4.347291774763423,8.770451339137054
WP,Mid-Depth,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,0.3537257451749749,2.2125017038041896,6.307603098690954,6.434206937207154,6.457378308087018,2.469376798490854,3.700998438072116,9.788082539999005,9.33957798797586,3.0592782734386668,5.069943787373206,4.565972222222222,4.452470048903668,6.552799249666572,6.143728759894381,11.822252316326496,3.752048882697098,2.77556795899795,3.428787137447768,7.559850686875232,4.045193001439822,15.954545454545451,7.066666666666667,11.81452090017339,29.45652173913044,21.783783783783782,17.883720930232556,11.956521739130435,11.681983322079432,15.759984485472806,0.0,9.420176545059022,17.621587988632953,19.37319253183783,16.110438892952942,16.42687878787879,26.51644444444444,10.990933333333336,10.469128205128206,11.296833333333334,24.17683333333333,33.84864,8.3904,2.396279069767442,18.64210526315789,29.026000000000003,8.372,7.894193548387097,39.70593103448277,36.34779661016949,12.208,22.06042553191489,16.93937532171385,20.93,8.41493333333333,7.107851851851851,6.621408450704227,7.291741935483871,18.837000000000003,10.799384615384616,4.968,14.253866666666667,13.670363636363636,7.2128,19.826,16.62690909090909,4.095179487179488,6.466285714285715,9.436,0.0,0.0,1.5084191829484903,1.546049693914296,2.831188369328774,6.088857928505958,7.697218886665185,2.6452724418438707
WP,Lower Photic,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,11.075045781765803,0.265296916276685,2.881775937777127,3.0007739198366967,3.0224860950610197,2.174391112671258,5.161987438283531,6.049857947465485,5.647935257112289,3.557708219109803,1.9339201384324929,0.0520833333333324,0.8519982078664582,13.01713799041926,11.221664989469884,14.543990173165469,5.334746394127955,5.639650451412094,5.770126687312032,11.967589419206224,6.118470073397809,24.13636363636364,6.177777777777778,1.8285714285714283,25.543478260869563,7.72972972972973,6.255813953488372,10.217391304347826,9.401202528393032,6.728414371582899,0.0,5.552958419592722,13.70233901446386,15.868399915878022,14.218787083919365,15.132326624482223,15.64,8.414933333333334,4.524512820512822,4.978141010063247,26.055166666666672,37.71264,12.4384,11.68186046511628,29.923,21.23702325581396,4.859272727272727,3.947096774193549,28.15834482758621,41.805423728813565,13.888,16.305531914893617,14.382666666666667,16.83181818181818,13.566933333333337,7.9029135802469135,7.528450704225351,5.2143225806451605,8.640333333333333,6.694754415674476,0.9813333333333332,3.663644444444445,5.766727272727273,2.9194666666666667,7.406000000000001,8.430545454545454,3.764923076923077,5.152,5.236000000000001,0.0,0.0,0.8370159857904087,0.8578970111631258,2.3592188564674257,3.3786837763519717,4.271157067674747,2.205426573426573
WP,Deep,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,not measured,20.067120651164565,1.5634334412950213,2.102557954426591,1.490560805314904,1.6862916431238266,2.76436248431045,8.498933105228003,5.800642974629916,5.50517672074883,7.744519762747345,2.7765837711776085,1.371527777777777,1.643509791246586,5.583148438553669,5.006783232801029,6.190921008853978,8.60794562208675,6.403402993387928,6.711543460166409,9.950880284526596,9.007795771828288,27.227272727272727,7.466666666666669,3.2,27.586956521739136,11.18918918918919,12.116279069767442,11.304347826086955,11.23942648645871,10.324783029473185,17.348143161226506,12.322482520049702,12.254249385059875,21.38397911884936,11.794424351461169,11.627999394339833,18.4,5.266488888888889,9.016000000000002,10.307595512506133,19.54808333333333,36.82191644444445,23.567054545454543,6.410046511627907,19.78217894736842,30.877767441860467,19.815152956132845,10.80258064516129,30.273580194518125,38.064958723828525,11.648,17.34689361702128,12.826333333333334,13.494727272727271,12.021333333333336,6.074271604938272,4.625915492957747,7.135935483870968,13.577666666666667,6.031307692307694,4.538666666666667,5.953422222222223,5.942363636363636,11.775808333333334,20.746,15.163272727272728,10.665739876227295,8.482326133606392,11.060000000000002,0.0,0.0,1.768028419182949,1.8121353979114156,2.9845698096326854,7.136791934005501,9.021962790008155,2.7536520389445465
