month_year,Year,Month (num),Month,Day,date,Location,Municipality,X,Y,Altitude,Time,Temperature,Ambient T,Temp change,pH,depth,Total_Dissolved_Solids,Sediments,O2,O2,Salinity,Conductivity,Flow,flow,phosphate,Nitrates,Turbidity,Fecal_Coliforms,BOD,Total_Nitrogen,Total_Phosphorus,ICA,Quality,Colour
23,2016,11,Nov,8,08/11/2016,Río Tzununá,Santa Cruz La Laguna,,,,,17.3,,,8.3,31,56.8,0.2,7.59,95,0.06,120.1,53.54,0.053,,,,,,,,,,
24,2016,12,Dic,2,02/12/2016,Río La Catarata,Panajachel,428286,1631202,0,,17.1,,,8.44,100,126,-0.1,7.39,92.3,0.13,264,2.32,0.002,,,,,,,,,,
24,2016,12,Dic,2,02/12/2016,Rio San Buenaventura,Panajachel,428435,1631162,1596,,19,,,8.59,62,111.1,-0.1,7.58,98.4,0.11,233,2.43,0.002,,,,,,,,,,
24,2016,12,Dic,2,02/12/2016,Río San Francisco,Panajachel,430805,1631438,1637,,19.7,,,8.17,12,96.3,0.3,7.23,95.7,0.1,202.4,90.21,0.09,,,,,,,,,,
24,2016,12,Dic,6,06/12/2016,Río Quiscab,Sololá,426160,1630385,0,,20,,,8.41,33.4,76.3,0.5,7.26,96.1,0.08,160.8,590.86,0.59,,,,,,,,,,
24,2016,12,Dic,6,06/12/2016,Río Tzununá,Santa Cruz La Laguna,,,,,20.4,,,8.42,83,56.4,0.2,7.09,94.7,0.06,119.4,48.94,0.048,,,,,,,,,,
26,2017,2,Feb,1,01/02/2017,Río La Catarata,Panajachel,428286,1631202,0,,16,,,8.08,120,143.1,0.1,6.23,76.3,0.14,299,0.028,0,,,,,,,,,,
26,2017,2,Feb,1,01/02/2017,Rio San Buenaventura,Panajachel,428429,1631144,1592,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
26,2017,2,Feb,1,01/02/2017,Río San Francisco,Panajachel,430828,1631459,1636,,24.3,,,8.73,10,105.9,0.5,7.16,104.2,0.1,222,35.45,0.035,,,,,,,,,,
26,2017,2,Feb,7,07/02/2017,Río Quiscab,Sololá,426160,1630385,0,,20.3,,,8.55,40,80.7,0.1,7.23,96.5,0.08,170.1,336.23,0.336,,,,,,,,,,
26,2017,2,Feb,7,07/02/2017,Río Tzununá,Santa Cruz La Laguna,420004,1629107,1581,,19.3,,,8.26,70,56.2,0.1,7.21,94.1,0.06,118.9,31.56,0.031,,,,,,,,,,
27,2017,3,Mar,1,01/03/2017,Río La Catarata,Panajachel,428286,1631202,0,,19.8,,,8.19,120,137.3,-0.1,6.91,91.3,0.14,287,0.1,0,,,,,,,,,,
27,2017,3,Mar,1,01/03/2017,Rio San Buenaventura,Panajachel,428429,1631144,1592,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
27,2017,3,Mar,1,01/03/2017,Río San Francisco,Panajachel,430828,1631459,1636,,22.8,,,8.96,25,111.1,0.1,7.46,104.8,0.11,233,52.8,0.052,,,,,,,,,,
27,2017,3,Mar,13,13/03/2017,Río Quiscab,Sololá,426160,1630385,0,,21,,,8.47,29,81.4,0.1,7.23,97.7,0.08,171.6,458.7,0.458,,,,,,,,,,
27,2017,3,Mar,13,13/03/2017,Río Tzununá,Santa Cruz La Laguna,420004,1629107,1581,,19.2,,,8.35,105,58.1,0.1,7.32,95.2,0.06,122.9,51.09,0.051,,,,,,,,,,
28,2017,4,Abr,3,03/04/2017,Río La Catarata,Panajachel,428286,1631202,0,,18.8,,,8.47,120,124.5,0.1,8.47,109.7,0.12,261,2.02,0.002,,,,,,,,,,
28,2017,4,Abr,3,03/04/2017,Rio San Buenaventura,Panajachel,428429,1631144,1592,,23.2,,,8.99,120,99.8,0.1,8.75,123.6,0.1,209.7,2.69,0.002,,,,,,,,,,
28,2017,4,Abr,3,03/04/2017,Río San Francisco,Panajachel,430828,1631459,1636,,22.5,,,8.36,15,108.4,0.2,7.07,98.9,0.11,226,38.95,0.038,,,,,,,,,,
28,2017,4,Abr,18,18/04/2017,Río Quiscab,Sololá,426160,1630385,0,,20,,,8.59,36,80.8,0.3,7.41,98,0.08,170.2,326.26,0.326,,,,,,,,,,
28,2017,4,Abr,18,18/04/2017,Río Tzununá,Santa Cruz La Laguna,420004,1629107,1581,,19,,,8.21,38,55,0.3,7.28,94.4,0.05,116.5,61.12,0.061,,,,,,,,,,
29,2017,5,May,2,02/05/2017,Río La Catarata,Panajachel,428286,1631202,0,,18.5,,,8.66,7,115.2,0.1,7.39,95.1,0.11,241,13.18,0.013,,,,,,,,,,
29,2017,5,May,2,02/05/2017,Rio San Buenaventura,Panajachel,428429,1631144,1592,,19.7,,,8.69,50,101.4,0.1,7.37,97.2,0.1,213,11.71,0.011,,,,,,,,,,
29,2017,5,May,2,02/05/2017,Río San Francisco,Panajachel,430828,1631459,1636,,22.3,,,8.36,35,103.5,0.1,6.7,94.2,0.1,217.3,135.6,0.135,,,,,,,,,,
29,2017,5,May,15,15/05/2017,Río Quiscab,Sololá,426160,1630385,0,,22.2,,,8.5,9,88.3,0.3,7,96.8,0.09,185.8,576.69,0.576,,,,,,,,,,
29,2017,5,May,15,15/05/2017,Río Tzununá,Santa Cruz La Laguna,420004,1629107,1581,,21.1,,,8.4,16,60.7,0.3,7.1,96.1,0.06,128.3,55.6,0.055,,,,,,,,,,
30,2017,6,Jun,19,19/06/2017,Río La Catarata,Panajachel,428286,1631202,0,,17.8,,,8.52,25,113,0.1,7.61,96.8,0.11,237,104.03,0.104,,,,,,,,,,
30,2017,6,Jun,19,19/06/2017,Rio San Buenaventura,Panajachel,428429,1631144,1592,,17.9,,,8.58,12,123,0.2,7.57,96.5,0.12,258,97.17,0.097,,,,,,,,,,
30,2017,6,Jun,19,19/06/2017,Río San Francisco,Panajachel,430828,1631459,1636,,17.8,,,8.08,3,80.5,0.3,7.49,95.8,0.08,169.7,1160.02,1.16,,,,,,,,,,
30,2017,6,Jun,22,22/06/2017,Río Quiscab,Sololá,426160,1630385,0,,22.3,,,8.26,0.1,93.5,0.1,7.35,96.8,0.11,193.4,2173.01,2.173,,,,,,,,,,
30,2017,6,Jun,22,22/06/2017,Río Tzununá,Santa Cruz La Laguna,420004,1629107,1581,,21.1,,,8.31,30,61.8,0.1,7.58,100.5,0.1,235,987.5,0.987,,,,,,,,,,
31,2017,7,Jul,7,07/07/2017,Río Quiscab,Sololá,426160,1630385,0,,19.2,,,6.8,20,133.6,0.3,7.33,95.4,0.13,279,2642.95,2.642,,,,,,,,,,
31,2017,7,Jul,7,07/07/2017,Río Tzununá,Santa Cruz La Laguna,420004,1629107,1581,,19.8,,,8.48,28.4,58.6,0.3,7.24,95.5,0.06,123.9,230.32,0.23,,,,,,,,,,
31,2017,7,Jul,13,13/07/2017,Río La Catarata,Panajachel,428286,1631202,0,,,,,,,,,,,,,21.87,0.021,,,,,,,,,,
31,2017,7,Jul,13,13/07/2017,Rio San Buenaventura,Panajachel,428429,1631144,1592,,,,,,,,,,,,,19.54,0.019,,,,,,,,,,
31,2017,7,Jul,13,13/07/2017,Río San Francisco,Panajachel,430828,1631459,1636,,,,,,,,,,,,,427.35,0.427,,,,,,,,,,
32,2017,8,Ago,3,03/08/2017,Río Quiscab,Sololá,426160,1630385,0,,21.7,,,8.42,5,76.7,0.2,7.04,96.2,0.08,161.8,979.44,0.979,,,,,,,,,,
32,2017,8,Ago,3,03/08/2017,Río Tzununá,Santa Cruz La Laguna,420004,1629107,1581,,21,,,8.4,23,57.9,0.1,7.12,95.9,0.06,122.5,75.73,0.075,,,,,,,,,,
32,2017,8,Ago,4,04/08/2017,Río La Catarata,Panajachel,428286,1631202,0,,19.4,,,8.62,31,101.5,-0.1,7.23,94.6,0.1,213.3,21.25,0.021,,,,,,,,,,
32,2017,8,Ago,4,04/08/2017,Rio San Buenaventura,Panajachel,428429,1631144,1592,,18.7,,,8.66,27,106.1,-0.1,7.34,94.8,0.11,223,21.69,0.021,,,,,,,,,,
32,2017,8,Ago,4,04/08/2017,Río San Francisco,Panajachel,430828,1631459,1636,,24.3,,,8.41,5,79.4,0.5,6.5,94.3,0.08,167.3,281.07,0.281,,,,,,,,,,
33,2017,9,Sep,6,06/09/2017,Río Quiscab,Sololá,426160,1630385,0,,19.1,,,8.23,5,73.5,0.2,7.77,101.2,0.07,155.1,2730.75,2.73,,,,,,,,,,
33,2017,9,Sep,6,06/09/2017,Río Tzununá,Santa Cruz La Laguna,420004,1629107,1581,,21.6,,,8.57,8,57.5,0.1,7.42,101.1,0.06,121.8,163.45,0.163,,,,,,,,,,
33,2017,9,Sep,7,07/09/2017,Río La Catarata,Panajachel,428286,1631202,0,,19.2,,,8.58,20,95.7,0.1,7.83,102.2,0.09,201.2,34.41,0.034,,,,,,,,,,
33,2017,9,Sep,7,07/09/2017,Rio San Buenaventura,Panajachel,428429,1631144,1592,,19.1,,,8.63,9,95.6,0.1,7.85,102.5,0.09,201,35.66,0.035,,,,,,,,,,
33,2017,9,Sep,7,07/09/2017,Río San Francisco,Panajachel,430828,1631459,1636,,20.9,,,8.34,3,71.5,0.2,7.55,102.7,0.07,150.9,594.55,0.594,,,,,,,,,,
34,2017,10,Oct,24,24/10/2017,Río La Catarata,Panajachel,428286,1631202,0,,,,,,,,,,,,,28.34,0.028,,,,,,,,,,
34,2017,10,Oct,24,24/10/2017,Rio San Buenaventura,Panajachel,428429,1631144,1592,,,,,,,,,,,,,44.79,0.044,,,,,,,,,,
34,2017,10,Oct,24,24/10/2017,Río San Francisco,Panajachel,430828,1631459,1636,,,,,,,,,,,,,469.49,0.469,,,,,,,,,,
35,2017,11,Nov,6,06/11/2017,Río Quiscab,Sololá,426160,1630385,0,,19.7,,,8.44,7,78.5,1.1,7.6,100.3,0.08,165.6,1811.12,1.811,,,,,,,,,,
35,2017,11,Nov,6,06/11/2017,Río Tzununá,Santa Cruz La Laguna,,,,,18.9,,,8.66,18,58.5,0.2,7.66,100.7,0.06,123.7,99.3,0.099,,,,,,,,,,
35,2017,11,Nov,10,10/11/2017,Río La Catarata,Panajachel,428286,1631202,0,,,,,,,,,,,,,33.02,0.033,,,,,,,,,,
35,2017,11,Nov,10,10/11/2017,Rio San Buenaventura,Panajachel,428429,1631144,1592,,,,,,,,,,,,,21.13,0.021,,,,,,,,,,
35,2017,11,Nov,10,10/11/2017,Río San Francisco,Panajachel,430828,1631459,1636,,,,,,,,,,,,,169.14,0.169,,,,,,,,,,
36,2017,12,Dic,20,20/12/2017,Río Quiscab,Sololá,426160,1630385,0,,18.1,,,8.59,,86.1,,7.8,99.5,0.09,181.3,671.83,0.671,,,,,,,,,,
36,2017,12,Dic,20,20/12/2017,Río Tzununá,Santa Cruz La Laguna,,,,,18.3,,,8.74,37,59.5,,7.66,98,0.06,125.9,53.93,0.053,,,,,,,,,,
36,2017,12,Dic,21,21/12/2017,Río La Catarata,Panajachel,428286,1631202,0,,,,,,,,,,,,,9.54,0.009,,,,,,,,,,
36,2017,12,Dic,21,21/12/2017,Rio San Buenaventura,Panajachel,428429,1631144,1592,,,,,,,,,,,,,4.68,0.004,,,,,,,,,,
36,2017,12,Dic,21,21/12/2017,Río San Francisco,Panajachel,430828,1631459,1636,,,,,,,,,,,,,95.67,0.095,,,,,,,,,,
34,2017,10,Oct,0,,Río Quiscab,Sololá,426160,1630385,0,,,,,,,,,,,,,2270.94,2.27,,,,,,,,,,
34,2017,10,Oct,0,,Río Tzununá,Santa Cruz La Laguna,420004,1629107,1581,,,,,,,,,,,,,131.38,0.131,,,,,,,,,,
38,2018,2,Feb,7,07/02/2018,Río Quiscab,Sololá,426160,1630385,0,,19.6,,,8.27,15,81.2,,7.75,102.2,0.08,171.4,356.29,0.356,,,,,,,,,,
38,2018,2,Feb,7,07/02/2018,Río Tzununá,Santa Cruz La Laguna,420004,1629107,1581,,19.6,,,8.03,36,57,,7.67,102.1,0.06,120.7,57.1,0.057,,,,,,,,,,
38,2018,2,Feb,9,09/02/2018,Río La Catarata,Panajachel,428286,1631202,0,,16,,,8.28,120,138.7,,8.01,97.5,0.14,290,4.79,0.004,,,,,,,,,,
38,2018,2,Feb,9,09/02/2018,Rio San Buenaventura,Panajachel,428429,1631144,1592,,16.8,,,8.51,27,,,8.91,110.5,,,2.39,0.002,,,,,,,,,,
38,2018,2,Feb,9,09/02/2018,Río San Francisco,Panajachel,430828,1631459,1636,,23,,,8.33,4,,,7.23,103.5,,240,74.13,0.074,,,,,,,,,,
39,2018,3,Mar,2,02/03/2018,Río La Catarata,Panajachel,428286,1631202,0,,18.6,,,8.61,45,137.2,,8.09,104.4,0.14,285,4.69,0.004,,,,,,,,,,
39,2018,3,Mar,2,02/03/2018,Rio San Buenaventura,Panajachel,428429,1631144,1592,,19.9,,,9.2,40,118.6,,11.61,154,0.12,249,1.56,0.001,,,,,,,,,,
39,2018,3,Mar,9,09/03/2018,Río Quiscab,Sololá,426160,1630385,0,,20.6,,,8.38,30,83.2,,7.85,105.6,0.08,173.4,419.85,0.419,,,,,,,,,,
39,2018,3,Mar,9,09/03/2018,Río Tzununá,Santa Cruz La Laguna,420004,1629107,1581,,19.9,,,8.42,23,57.4,,8.01,105.9,0.06,121.6,42.69,0.042,,,,,,,,,,
39,2018,3,Mar,19,19/03/2018,Río San Francisco,Panajachel,430828,1631459,1636,,24.1,,,7.92,,195.5,,2.41,34.2,0.19,405.9,98,0.098,,,,,,,,,,
40,2018,4,Abr,4,04/04/2018,Río La Catarata,Panajachel,428286,1631202,0,,17.2,,,8.41,120,135.9,,7.79,97.5,0.13,284,5.09,0.005,,,,,,,,,,
40,2018,4,Abr,4,04/04/2018,Rio San Buenaventura,Panajachel,428429,1631144,1592,,17.6,,,8.66,50,100.1,,8.67,109.3,0.1,210.3,10.37,0.01,,,,,,,,,,
40,2018,4,Abr,4,04/04/2018,Río San Francisco,Panajachel,430828,1631459,1636,,23.3,,,8.29,6.7,112,,7.12,101.5,0.11,235,55.92,0.055,,,,,,,,,,
40,2018,4,Abr,13,13/04/2018,Río Quiscab,Sololá,426160,1630385,0,,20.8,,,8.32,25,80.3,,7.75,102.9,0.07,170.5,403.94,0.403,,,,,,,,,,
40,2018,4,Abr,13,13/04/2018,Río Tzununá,Santa Cruz La Laguna,420004,1629107,1581,,18.8,,,8.39,30,60.2,,7.55,97.6,0.06,127.3,66.82,0.066,,,,,,,,,,
41,2018,5,May,9,09/05/2018,Río Quiscab,Sololá,426160,1630385,0,,18.8,,,8.46,,82.9,,7.68,99.7,0.08,174.1,585.53,0.585,,,,,,,,,,
41,2018,5,May,9,09/05/2018,Río Tzununá,Santa Cruz La Laguna,420004,1629107,1581,,20,,,8.33,5,52.7,,7.36,97.5,0.05,111.7,65.53,0.065,,,,,,,,,,
41,2018,5,May,10,10/05/2018,Río La Catarata,Panajachel,428286,1631202,0,,18.3,,,8.24,,67.3,,7.64,98.2,0.07,142.1,25.52,0.025,,,,,,,,,,
41,2018,5,May,10,10/05/2018,Rio San Buenaventura,Panajachel,428429,1631144,1592,,19.8,,,8.44,,71.1,,7.36,97.5,0.07,148.5,39.01,0.039,,,,,,,,,,
41,2018,5,May,10,10/05/2018,Río San Francisco,Panajachel,430828,1631459,1636,,19.7,,,8.07,,69.4,,7.3,96.4,0.07,146.6,240.19,0.24,,,,,,,,,,
42,2018,6,Jun,6,06/06/2018,Río Quiscab,Sololá,426160,1630385,0,,,,,,,,,,,,,1516.68,1.516,,,,,,,,,,
42,2018,6,Jun,6,06/06/2018,Río Tzununá,Santa Cruz La Laguna,420004,1629107,1581,,,,,,14,,,,,,,228.54,0.228,,,,,,,,,,
42,2018,6,Jun,7,07/06/2018,Río La Catarata,Panajachel,428286,1631202,0,,19.1,,,8.49,13,65.2,,7.41,16.7,0.06,137.9,54.14,0.054,,,,,,,,,,
42,2018,6,Jun,7,07/06/2018,Rio San Buenaventura,Panajachel,428429,1631144,1592,,18.9,,,8.45,14.4,72.9,,7.46,97,0.07,153.8,113.83,0.113,,,,,,,,,,
42,2018,6,Jun,7,07/06/2018,Río San Francisco,Panajachel,430828,1631459,1636,,20.1,,,8.36,2,,,7.18,96.1,0.05,107.5,1197.38,1.197,,,,,,,,,,
43,2018,7,Jul,4,04/07/2018,Río Quiscab,Sololá,426160,1630385,0,,,,,,,,,,,,,1396.33,1.396,,,,,,,,,,
43,2018,7,Jul,4,04/07/2018,Río Tzununá,Santa Cruz La Laguna,420004,1629107,1581,,,,,,,,,,,,,93.33,0.093,,,,,,,,,,
43,2018,7,Jul,5,05/07/2018,Río La Catarata,Panajachel,428286,1631202,0,,17.4,,,8.55,37,78.4,,7.73,97.4,0.08,165.4,19.9,0.019,,,,,,,,,,
43,2018,7,Jul,5,05/07/2018,Rio San Buenaventura,Panajachel,428429,1631144,1592,,18.7,,,8.59,32,84.1,,7.5,97.1,0.08,177.1,15.43,0.015,,,,,,,,,,
43,2018,7,Jul,5,05/07/2018,Río San Francisco,Panajachel,430828,1631459,1636,,19.9,,,8.54,10,80.3,,7.41,98.8,0.08,169.3,170.59,0.17,,,,,,,,,,
44,2018,8,Ago,3,03/08/2018,Río Quiscab,Sololá,426160,1630385,0,,19.7,,,8.34,8.5,82.9,0.7,7.35,97,0.08,174.6,1168.27,1.168,,,,,,,,,,
44,2018,8,Ago,3,03/08/2018,Río Tzununá,Santa Cruz La Laguna,420004,1629107,1581,,21.2,,,8.49,8,57.5,0.5,7.21,96.8,0.06,121.6,61.19,0.061,,,,,,,,,,
44,2018,8,Ago,6,06/08/2018,Río La Catarata,Panajachel,428286,1631202,0,,17.7,,,8.45,5,100.7,-0.1,7.56,95.9,0.1,211.7,23.22,0.023,,,,,,,,,,
44,2018,8,Ago,6,06/08/2018,Rio San Buenaventura,Panajachel,428429,1631144,1592,,18.4,,,8.48,38,93.3,-0.1,7.5,96.5,0.09,196.1,25.35,0.025,,,,,,,,,,
44,2018,8,Ago,6,06/08/2018,Río San Francisco,Panajachel,430828,1631459,1636,,19.5,,,8.37,6,90.5,0.3,7.33,96.9,0.09,190.4,435.98,0.435,,,,,,,,,,
45,2018,9,Sep,4,04/09/2018,Río La Catarata,Panajachel,428286,1631202,0,,18.4,,,8.13,8,89.1,,7.6,97.8,0.09,187.5,43.27,0.043,,,,,,,,,,
45,2018,9,Sep,4,04/09/2018,Rio San Buenaventura,Panajachel,428429,1631144,1592,,18.4,,,8.15,7,93.3,,7.64,98.5,0.09,196.3,109.97,0.109,,,,,,,,,,
45,2018,9,Sep,4,04/09/2018,Río San Francisco,Panajachel,430828,1631459,1636,,19,,,8.06,3,85.6,,7.44,97.4,0.08,180.2,555.29,0.555,,,,,,,,,,
45,2018,9,Sep,5,05/09/2018,Río Quiscab,Sololá,426160,1630385,0,,22,,,8.08,4,81.3,0.5,7.27,100.6,0.08,171.2,1822.33,1.822,,,,,,,,,,
45,2018,9,Sep,5,05/09/2018,Río Tzununá,Santa Cruz La Laguna,420004,1629107,1581,,22.3,,,8.01,4,57.9,0.5,7.11,99.1,0.06,121.8,103.08,0.103,,,,,,,,,,
46,2018,10,Oct,1,01/10/2018,Río La Catarata,Panajachel,428286,1631202,0,,18.5,,,8.57,45,105.5,,7.52,97.3,0.1,222,14.04,0.014,,,,,,,,,,
46,2018,10,Oct,1,01/10/2018,Rio San Buenaventura,Panajachel,428429,1631144,1592,,19.1,,,8.66,43,95.2,,7.56,98.9,0.09,200.2,11.55,0.011,,,,,,,,,,
46,2018,10,Oct,1,01/10/2018,Río San Francisco,Panajachel,430828,1631459,1636,,20.3,,,8.51,8,88.7,,7.46,100.6,0.09,187.6,192.22,0.192,,,,,,,,,,
46,2018,10,Oct,2,02/10/2018,Río Quiscab,Sololá,426160,1630385,0,,22.4,,,8.55,10,74.3,0.2,7.85,109.4,0.07,156.7,585.51,0.585,,,,,,,,,,
46,2018,10,Oct,2,02/10/2018,Río Tzununá,Santa Cruz La Laguna,420004,1629107,1581,,21.8,,,8.43,7,56.3,0.2,7.23,99.7,0.06,119.2,104.6,0.104,,,,,,,,,,
47,2018,11,Nov,5,05/11/2018,Río La Catarata,Panajachel,428286,1631202,0,,19,,,8.78,39,96.5,0.1,7.42,97.1,0.1,202.8,31.2,0.031,,,,,,,,,,
47,2018,11,Nov,5,05/11/2018,Rio San Buenaventura,Panajachel,428429,1631144,1592,,18.8,,,8.82,50,96.4,0.1,7.54,98.2,0.1,202.6,9.02,0.009,,,,,,,,,,
47,2018,11,Nov,5,05/11/2018,Río San Francisco,Panajachel,430828,1631459,1636,,18.7,,,8.59,14,86.3,0.1,7.65,99.2,0.09,181.7,290.29,0.29,,,,,,,,,,
47,2018,11,Nov,6,06/11/2018,Río Quiscab,Sololá,426160,1630385,0,,21,,,8.76,25,71.2,0.2,7.54,102.6,0.07,149.3,1182.99,1.182,,,,,,,,,,
47,2018,11,Nov,6,06/11/2018,Río Tzununá,Santa Cruz La Laguna,,,,,21.4,,,8.63,4,53.4,0.4,7.2,98.6,0.05,112.9,76.78,0.076,,,,,,,,,,
48,2018,12,Dic,3,03/12/2018,Río La Catarata,Panajachel,428286,1631202,0,,17,,,8.75,70,96.5,-0.1,7.74,96.8,0.1,202.8,11.88,0.011,,,,,,,,,,
48,2018,12,Dic,3,03/12/2018,Rio San Buenaventura,Panajachel,428429,1631144,1592,,18.1,,,8.67,36,95.3,-0.1,7.68,98,0.09,200.5,14.57,0.014,,,,,,,,,,
48,2018,12,Dic,3,03/12/2018,Río San Francisco,Panajachel,430828,1631459,1636,,20.1,,,8.34,35,139.7,0.1,5.86,78.9,0.14,291.3,220.32,0.22,,,,,,,,,,
48,2018,12,Dic,4,04/12/2018,Río Quiscab,Sololá,426160,1630385,0,,19.5,,,8.49,30,71.7,0.1,7.75,102.1,0.07,153.3,1061.84,1.061,,,,,,,,,,
48,2018,12,Dic,4,04/12/2018,Río Tzununá,Santa Cruz La Laguna,,,,,20,,,8.43,33,54.2,0.1,7.53,100,0.05,114.8,95.74,0.095,,,,,,,,,,
50,2019,2,Feb,6,06/02/2019,Río Quiscab,Sololá,426187,1630392,1565,,20,,,8.2,22,57.8,0.2,7.46,99.2,0.08,164.1,730.63,0.73,,,,,,,,,,
